circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID	Score
chr9:35835288|35841267	chr9	35835288	35841267	3	2_2_0	2	0.75	exon	ENSG00000137103.20	+	simulate:514521,simulate:514517,simulate:514519	1
chr9:37522825|37537943	chr9	37522825	37537943	8	7_7_0	4	0.80	exon	ENSG00000256966.6	-	simulate:515973,simulate:515966,simulate:515947,simulate:515969,simulate:515936,simulate:515917,simulate:515929,simulate:515919	5
chr9:37974622|38016131	chr9	37974622	38016131	2	2_1_0	9	0.31	exon	ENSG00000107338.10	-	simulate:504854,simulate:504855	1
chr9:38437689|38462233	chr9	38437689	38462233	4	3_3_0	0	1.00	exon	ENSG00000283162.2	+	simulate:493657,simulate:493667,simulate:493665,simulate:493670	4
chr9:62867697|62869304	chr9	62867697	62869304	6	3_4_0	0	1.00	exon	ENSG00000234665.9	-	simulate:516094,simulate:516093,simulate:516098,simulate:516097,simulate:516100,simulate:516101	1
chr9:68742501|68822683	chr9	68742501	68822683	2	1_1_1	1	0.80	exon	ENSG00000107242.20	+	simulate:503786,simulate:503785	1
chr9:69043461|69046482	chr9	69043461	69046482	3	3_3_0	0	1.00	exon	ENSG00000165060.15	+	simulate:519513,simulate:519514,simulate:519512	1
chr9:69732139|69734254	chr9	69732139	69734254	2	2_1_0	0	1.00	exon	ENSG00000188647.13	-	simulate:508830,simulate:508828	1
chr9:69844517|69856673	chr9	69844517	69856673	6	4_4_0	0	1.00	exon	ENSG00000204711.9	+	simulate:486347,simulate:486348,simulate:486345,simulate:486346,simulate:486344,simulate:486340	2
chr9:71918425|71947112	chr9	71918425	71947112	3	2_3_0	4	0.60	exon	ENSG00000155621.15	+	simulate:518297,simulate:518298,simulate:518299	2
chr9:72305436|72315090	chr9	72305436	72315090	6	5_4_0	1	0.92	exon	ENSG00000225434.4	+	simulate:521057,simulate:521059,simulate:521064,simulate:521056,simulate:521060,simulate:521063	3
chr9:72930879|72940252	chr9	72930879	72940252	4	4_3_0	0	1.00	exon	ENSG00000165092.13	-	simulate:481896,simulate:481902,simulate:481904,simulate:481901	3
chr9:73154198|73158601	chr9	73154198	73158601	2	2_2_0	10	0.29	exon	ENSG00000135046.14	+	simulate:493971,simulate:493972	2
chr9:74634631|74662606	chr9	74634631	74662606	10	8_9_0	8	0.71	exon	ENSG00000198963.11	+	simulate:522958,simulate:522937,simulate:522959,simulate:522932,simulate:522954,simulate:522964,simulate:522931,simulate:522934,simulate:522960,simulate:522951	5
chr9:75117504|75133401	chr9	75117504	75133401	3	2_3_0	0	1.00	exon	ENSG00000134996.12	+	simulate:502455,simulate:502454,simulate:502456	2
chr9:77321169|77321746	chr9	77321169	77321746	4	3_3_0	17	0.32	exon	ENSG00000197969.14	+	simulate:509642,simulate:509643,simulate:509646,simulate:509649	2
chr9:81611769|81613521	chr9	81611769	81613521	5	5_5_0	1	0.91	exon	ENSG00000196781.16	-	simulate:514986,simulate:514987,simulate:514988,simulate:514989,simulate:514990	5
chr9:82281582|82428293	chr9	82281582	82428293	3	2_2_0	6	0.50	exon	ENSG00000228430.9	+	simulate:501052,simulate:501053,simulate:501054	0
chr9:83628007|83628959	chr9	83628007	83628959	3	3_3_0	0	1.00	exon	ENSG00000148057.16	+	simulate:501121,simulate:501124,simulate:501126	2
chr9:84292668|84298019	chr9	84292668	84298019	2	1_2_0	0	1.00	exon	ENSG00000197506.8	-	simulate:509815,simulate:509816	1
chr9:85958472|85959867	chr9	85958472	85959867	7	7_4_0	0	1.00	exon	ENSG00000135040.16	+	simulate:503081,simulate:503083,simulate:503082,simulate:503085,simulate:503084,simulate:503087,simulate:503088	4
chr9:86046470|86052591	chr9	86046470	86052591	2	1_1_1	0	1.00	exon	ENSG00000135052.16	-	simulate:488651,simulate:488650	1
chr9:86950867|86987615	chr9	86950867	86987615	5	5_4_0	0	1.00	exon	ENSG00000226237.3	+	simulate:490712,simulate:490715,simulate:490704,simulate:490705,simulate:490714	4
chr9:87970776|87974074	chr9	87970776	87974074	11	7_8_1	1	0.96	exon	ENSG00000156345.18	-	simulate:492537,simulate:492547,simulate:492541,simulate:492552,simulate:492550,simulate:492556,simulate:492534,simulate:492544,simulate:492554,simulate:492543,simulate:492553	5
chr9:88737657|88737877	chr9	88737657	88737877	3	1_2_2	1	0.86	exon	ENSG00000286414.1	-	simulate:519878,simulate:519876,simulate:519881	2
chr9:89698033|89700357	chr9	89698033	89700357	4	3_3_0	22	0.27	exon	ENSG00000237372.4	+	simulate:510481,simulate:510484,simulate:510482,simulate:510483	2
chr9:92049960|92077035	chr9	92049960	92077035	9	8_8_0	0	1.00	exon	ENSG00000090054.16	-	simulate:511009,simulate:510986,simulate:511014,simulate:510992,simulate:511003,simulate:510990,simulate:511002,simulate:511010,simulate:511011	6
chr9:92135461|92136537	chr9	92135461	92136537	6	4_4_0	0	1.00	exon	ENSG00000234537.1	+	simulate:521439,simulate:521426,simulate:521437,simulate:521431,simulate:521443,simulate:521430	2
chr9:92323441|92324209	chr9	92323441	92324209	2	0_2_1	10	0.29	exon	ENSG00000198000.12	-	simulate:501492,simulate:501487	1
chr9:92337541|92379859	chr9	92337541	92379859	10	6_7_1	1	0.95	exon	ENSG00000188312.14	+	simulate:484438,simulate:484446,simulate:484447,simulate:484444,simulate:484445,simulate:484442,simulate:484443,simulate:484451,simulate:484440,simulate:484439	4
chr9:92509899|92522893	chr9	92509899	92522893	2	1_2_0	0	1.00	exon	ENSG00000106823.13	-	simulate:510533,simulate:510531	1
chr9:92856192|92875059	chr9	92856192	92875059	2	2_0_1	0	1.00	exon	ENSG00000127081.14	-	simulate:499368,simulate:499366	1
chr9:92882567|92884000	chr9	92882567	92884000	5	4_3_0	11	0.48	exon	ENSG00000226668.5	+	simulate:483411,simulate:483410,simulate:483409,simulate:483408,simulate:483407	3
chr9:93069100|93075972	chr9	93069100	93075972	4	2_4_2	0	1.00	exon	ENSG00000157303.11	+	simulate:489010,simulate:489011,simulate:489004,simulate:489008	4
chr9:93476256|93498886	chr9	93476256	93498886	3	1_2_0	0	1.00	exon	ENSG00000048828.17	+	simulate:508520,simulate:508519,simulate:508517	1
chr9:94085251|94095454	chr9	94085251	94095454	6	4_6_0	9	0.57	exon	ENSG00000158079.16	+	simulate:495549,simulate:495559,simulate:495553,simulate:495560,simulate:495561,simulate:495551	4
chr9:94278758|94292467	chr9	94278758	94292467	4	2_3_0	0	1.00	exon	ENSG00000175787.17	+	simulate:520180,simulate:520181,simulate:520182,simulate:520183	2
chr9:94605457|94610061	chr9	94605457	94610061	9	7_5_0	16	0.53	exon	ENSG00000165140.12	-	simulate:490029,simulate:490018,simulate:490019,simulate:490027,simulate:490017,simulate:490021,simulate:490031,simulate:490025,simulate:490023	2
chr9:94928425|94967801	chr9	94928425	94967801	6	4_2_3	18	0.40	exon	ENSG00000148120.18	+	simulate:487008,simulate:487006,simulate:487005,simulate:487012,simulate:487011,simulate:487010	4
chr9:96246556|96252910	chr9	96246556	96252910	4	0_4_2	11	0.42	exon	ENSG00000285269.2	-	simulate:491259,simulate:491262,simulate:491257,simulate:491258	2
chr9:96298416|96321341	chr9	96298416	96321341	3	1_3_2	11	0.35	exon	ENSG00000285269.2	-	simulate:494717,simulate:494753,simulate:494752	3
chr9:96458379|96484633	chr9	96458379	96484633	5	3_3_1	0	1.00	exon	ENSG00000130956.14	+	simulate:485755,simulate:485756,simulate:485751,simulate:485752,simulate:485748	2
chr9:96774788|96776245	chr9	96774788	96776245	2	1_1_1	0	1.00	exon	ENSG00000081386.13	-	simulate:502380,simulate:502382	1
chr9:97281516|97290902	chr9	97281516	97290902	6	5_1_2	3	0.80	exon	ENSG00000254633.2	+	simulate:486616,simulate:486614,simulate:486622,simulate:486620,simulate:486619,simulate:486618	1
chr9:97325019|97347666	chr9	97325019	97347666	8	6_8_0	14	0.53	exon	ENSG00000255036.6	+	simulate:498849,simulate:498868,simulate:498901,simulate:498910,simulate:498885,simulate:498850,simulate:498862,simulate:498895	6
chr9:97610346|97625997	chr9	97610346	97625997	7	4_5_0	0	1.00	exon	ENSG00000136925.15	-	simulate:482117,simulate:482111,simulate:482110,simulate:482113,simulate:482108,simulate:482129,simulate:482109	2
chr9:97648008|97655764	chr9	97648008	97655764	3	2_2_1	0	1.00	exon	ENSG00000136937.13	+	simulate:481632,simulate:481622,simulate:481624	2
chr9:98130955|98134955	chr9	98130955	98134955	7	6_5_0	7	0.67	exon	ENSG00000106789.13	-	simulate:506572,simulate:506581,simulate:506576,simulate:506565,simulate:506574,simulate:506568,simulate:506577	4
chr9:98210656|98229148	chr9	98210656	98229148	3	2_3_0	7	0.46	exon	ENSG00000095383.20	-	simulate:499838,simulate:499833,simulate:499830	2
chr9:99828041|99833454	chr9	99828041	99833454	9	6_8_0	2	0.90	exon	ENSG00000119508.18	+	simulate:496968,simulate:496979,simulate:496957,simulate:496948,simulate:496987,simulate:496975,simulate:496942,simulate:496952,simulate:496940	5
chr9:100018256|100052532	chr9	100018256	100052532	9	4_6_2	0	1.00	exon	ENSG00000023318.9	-	simulate:513121,simulate:513110,simulate:513120,simulate:513107,simulate:513116,simulate:513115,simulate:513104,simulate:513112,simulate:513122	6
chr9:100326302|100330169	chr9	100326302	100330169	3	3_3_0	0	1.00	exon	ENSG00000136891.14	-	simulate:492530,simulate:492532,simulate:492531	2
chr9:103004969|103006378	chr9	103004969	103006378	5	4_4_0	0	1.00	exon	ENSG00000155833.15	+	simulate:499644,simulate:499676,simulate:499672,simulate:499680,simulate:499670	3
chr9:104132009|104136060	chr9	104132009	104136060	5	5_3_0	6	0.63	exon	ENSG00000136824.19	+	simulate:512063,simulate:512060,simulate:512069,simulate:512057,simulate:512067	3
chr9:105464240|105468324	chr9	105464240	105468324	5	5_5_0	2	0.83	exon	ENSG00000106701.13	+	simulate:493558,simulate:493564,simulate:493563,simulate:493561,simulate:493557	5
chr9:106588380|106589013	chr9	106588380	106589013	3	1_2_1	10	0.38	exon	ENSG00000234323.9	+	simulate:492108,simulate:492106,simulate:492111	1
chr9:109243618|109255680	chr9	109243618	109255680	4	2_3_2	6	0.57	exon	ENSG00000095203.15	-	simulate:481065,simulate:481066,simulate:481067,simulate:481068	3
chr9:109406462|109427122	chr9	109406462	109427122	8	8_5_0	19	0.46	exon	ENSG00000070159.14	-	simulate:522139,simulate:522128,simulate:522114,simulate:522113,simulate:522127,simulate:522132,simulate:522120,simulate:522130	5
chr9:111527268|111530963	chr9	111527268	111530963	3	3_2_0	0	1.00	exon	ENSG00000173258.13	+	simulate:490349,simulate:490350,simulate:490353	2
chr9:112405624|112418958	chr9	112405624	112418958	2	2_1_0	19	0.17	exon	ENSG00000119471.15	+	simulate:506220,simulate:506222	1
chr9:113198855|113203035	chr9	113198855	113203035	3	2_2_1	0	1.00	exon	ENSG00000119321.10	-	simulate:522678,simulate:522674,simulate:522671	2
chr9:113322811|113331116	chr9	113322811	113331116	6	5_4_0	3	0.80	exon	ENSG00000148225.16	-	simulate:496627,simulate:496635,simulate:496637,simulate:496625,simulate:496630,simulate:496633	2
chr9:113354240|113360737	chr9	113354240	113360737	5	3_4_0	0	1.00	exon	ENSG00000119411.11	+	simulate:498938,simulate:498944,simulate:498945,simulate:498942,simulate:498940	2
chr9:114032645|114036377	chr9	114032645	114036377	6	5_5_1	0	1.00	exon	ENSG00000157657.15	+	simulate:499203,simulate:499200,simulate:499201,simulate:499198,simulate:499199,simulate:499197	5
chr9:114359594|114361911	chr9	114359594	114361911	14	8_9_0	0	1.00	exon	ENSG00000106948.17	-	simulate:506381,simulate:506380,simulate:506385,simulate:506383,simulate:506382,simulate:506367,simulate:506389,simulate:506378,simulate:506388,simulate:506377,simulate:506387,simulate:506375,simulate:506369,simulate:506379	6
chr9:114671383|114671827	chr9	114671383	114671827	7	5_5_0	0	1.00	exon	ENSG00000230601.7	-	simulate:515598,simulate:515599,simulate:515600,simulate:515601,simulate:515603,simulate:515604,simulate:515605	3
chr9:114905828|114918138	chr9	114905828	114918138	3	3_1_2	4	0.60	exon	ENSG00000106952.8	-	simulate:500150,simulate:500151,simulate:500152	3
chr9:115040941|115057425	chr9	115040941	115057425	6	6_3_0	0	1.00	exon	ENSG00000041982.16	-	simulate:492118,simulate:492117,simulate:492121,simulate:492131,simulate:492125,simulate:492135	3
chr9:116373199|116377647	chr9	116373199	116377647	5	3_3_1	0	1.00	exon	ENSG00000182752.10	+	simulate:490185,simulate:490179,simulate:490178,simulate:490182,simulate:490181	2
chr9:116841429|116842517	chr9	116841429	116842517	5	2_4_0	0	1.00	exon	ENSG00000285820.1	+	simulate:487843,simulate:487842,simulate:487841,simulate:487839,simulate:487838	1
chr9:117648596|117650977	chr9	117648596	117650977	5	3_5_0	0	1.00	exon	ENSG00000233569.2	+	simulate:524188,simulate:524187,simulate:524184,simulate:524185,simulate:524181	3
chr9:117708563|117848155	chr9	117708563	117848155	3	3_2_1	1	0.86	exon	ENSG00000285082.2	+	simulate:504630,simulate:504626,simulate:504628	3
chr9:120622616|120659575	chr9	120622616	120659575	3	2_3_0	0	1.00	exon	ENSG00000106780.9	-	simulate:511191,simulate:511192,simulate:511189	1
chr9:120914235|120926301	chr9	120914235	120926301	6	2_3_3	1	0.92	exon	ENSG00000056558.11	-	simulate:491011,simulate:491022,simulate:491023,simulate:491005,simulate:491024,simulate:491013	3
chr9:120991191|121008498	chr9	120991191	121008498	6	3_4_1	13	0.48	exon	ENSG00000106804.9	-	simulate:511819,simulate:511803,simulate:511815,simulate:511813,simulate:511810,simulate:511800	2
chr9:121974009|122031856	chr9	121974009	122031856	12	10_5_1	13	0.65	exon	ENSG00000175764.17	-	simulate:500650,simulate:500661,simulate:500664,simulate:500642,simulate:500653,simulate:500643,simulate:500644,simulate:500656,simulate:500668,simulate:500646,simulate:500648,simulate:500639	8
chr9:122280443|122286166	chr9	122280443	122286166	8	7_5_0	5	0.76	exon	ENSG00000148187.18	+	simulate:491741,simulate:491742,simulate:491734,simulate:491735,simulate:491755,simulate:491733,simulate:491738,simulate:491748	3
chr9:124543802|124554570	chr9	124543802	124554570	6	3_5_3	2	0.86	exon	ENSG00000148200.17	-	simulate:486516,simulate:486514,simulate:486515,simulate:486512,simulate:486521,simulate:486518	5
chr9:125153906|125160906	chr9	125153906	125160906	5	3_4_1	0	1.00	exon	ENSG00000119414.12	-	simulate:494686,simulate:494690,simulate:494691,simulate:494692,simulate:494682	3
chr9:125203008|125220397	chr9	125203008	125220397	7	2_5_5	7	0.67	exon	ENSG00000136933.17	+	simulate:513759,simulate:513757,simulate:513755,simulate:513754,simulate:513753,simulate:513750,simulate:513760	5
chr9:126690836|126693323	chr9	126690836	126693323	8	7_7_0	12	0.57	exon	ENSG00000136944.19	+	simulate:505981,simulate:505982,simulate:505993,simulate:505985,simulate:505986,simulate:505978,simulate:505989,simulate:505977	6
chr9:127399907|127403803	chr9	127399907	127403803	5	5_1_2	0	1.00	exon	ENSG00000136856.18	+	simulate:491918,simulate:491919,simulate:491911,simulate:491915,simulate:491912	2
chr9:127714379|127715194	chr9	127714379	127715194	6	3_5_2	0	1.00	exon	ENSG00000187024.15	-	simulate:485188,simulate:485184,simulate:485194,simulate:485183,simulate:485191,simulate:485192	3
chr9:127749211|127762416	chr9	127749211	127762416	7	7_1_5	7	0.67	exon	ENSG00000095370.20	-	simulate:523198,simulate:523200,simulate:523178,simulate:523189,simulate:523173,simulate:523194,simulate:523181	6
chr9:127806973|127807286	chr9	127806973	127807286	4	4_4_0	0	1.00	exon	ENSG00000136877.15	+	simulate:499855,simulate:499856,simulate:499853,simulate:499854	4
chr9:127817759|127818389	chr9	127817759	127818389	4	3_3_0	20	0.29	exon	ENSG00000225032.5	+	simulate:486017,simulate:486018,simulate:486015,simulate:486016	4
chr9:127914656|127916494	chr9	127914656	127916494	3	3_2_0	0	1.00	exon	ENSG00000136840.19	-	simulate:504844,simulate:504849,simulate:504847	2
chr9:127925867|127927208	chr9	127925867	127927208	2	2_1_1	0	1.00	exon	ENSG00000167103.12	-	simulate:511339,simulate:511340	2
chr9:127945649|127950539	chr9	127945649	127950539	5	2_4_0	6	0.63	exon	ENSG00000167106.12	-	simulate:501831,simulate:501832,simulate:501822,simulate:501824,simulate:501827	1
chr9:128099275|128101222	chr9	128099275	128101222	8	6_5_0	0	1.00	exon	ENSG00000148339.13	+	simulate:486779,simulate:486788,simulate:486787,simulate:486786,simulate:486785,simulate:486782,simulate:486781,simulate:486780	3
chr9:128722009|128722574	chr9	128722009	128722574	3	1_2_1	10	0.38	exon	ENSG00000160446.19	-	simulate:485742,simulate:485741,simulate:485738	1
chr9:128927038|128937778	chr9	128927038	128937778	4	3_1_2	9	0.47	exon	ENSG00000175287.19	+	simulate:492513,simulate:492508,simulate:492506,simulate:492512	2
chr9:129060550|129061346	chr9	129060550	129061346	3	3_3_0	0	1.00	exon	ENSG00000148343.19	+	simulate:510816,simulate:510813,simulate:510814	3
chr9:129084668|129085306	chr9	129084668	129085306	6	6_4_0	4	0.75	exon	ENSG00000167130.18	+	simulate:514821,simulate:514813,simulate:514814,simulate:514815,simulate:514818,simulate:514819	4
chr9:129613107|129620743	chr9	129613107	129620743	3	2_2_0	0	1.00	exon	ENSG00000179058.7	-	simulate:485636,simulate:485637,simulate:485654	1
chr9:129830871|129834766	chr9	129830871	129834766	3	3_2_1	0	1.00	exon	ENSG00000136819.15	-	simulate:514478,simulate:514479,simulate:514480	3
chr9:130666608|130668313	chr9	130666608	130668313	5	4_5_0	9	0.53	exon	ENSG00000130711.5	+	simulate:513054,simulate:513062,simulate:513061,simulate:513060,simulate:513058	4
chr9:131436620|131439061	chr9	131436620	131439061	5	2_2_1	0	1.00	exon	ENSG00000288841.1	+	simulate:490689,simulate:490688,simulate:490692,simulate:490690,simulate:490691	1
chr9:132390597|132398326	chr9	132390597	132398326	5	3_4_0	3	0.77	exon	ENSG00000125482.13	-	simulate:484117,simulate:484116,simulate:484125,simulate:484112,simulate:484123	1
chr9:132498695|132499600	chr9	132498695	132499600	9	8_6_0	1	0.95	exon	ENSG00000188523.9	+	simulate:493789,simulate:493795,simulate:493794,simulate:493793,simulate:493792,simulate:493787,simulate:493786,simulate:493796,simulate:493791	7
chr9:132648189|132651116	chr9	132648189	132651116	6	4_0_4	4	0.75	exon	ENSG00000125485.18	-	simulate:509670,simulate:509681,simulate:509677,simulate:509678,simulate:509671,simulate:509668	2
chr9:133104263|133108406	chr9	133104263	133108406	3	2_3_0	33	0.15	exon	ENSG00000285245.1	-	simulate:489772,simulate:489773,simulate:489765	2
chr9:133105932|133109721	chr9	133105932	133109721	4	4_3_0	37	0.18	exon	ENSG00000285245.1	-	simulate:499181,simulate:499171,simulate:499156,simulate:499146	2
chr9:133520174|133528612	chr9	133520174	133528612	8	3_6_0	7	0.70	exon	ENSG00000187616.5	-	simulate:510509,simulate:510516,simulate:510505,simulate:510506,simulate:510514,simulate:510512,simulate:510513,simulate:510511	1
chr9:133540878|133554693	chr9	133540878	133554693	8	8_6_0	0	1.00	exon	ENSG00000197859.11	+	simulate:492155,simulate:492164,simulate:492153,simulate:492148,simulate:492157,simulate:492146,simulate:492163,simulate:492160	6
chr9:134408149|134421805	chr9	134408149	134421805	2	2_1_0	1	0.80	exon	ENSG00000186350.12	+	simulate:495744,simulate:495741	1
chr9:135500998|135501973	chr9	135500998	135501973	8	4_8_0	0	1.00	exon	ENSG00000122140.12	+	simulate:499209,simulate:499206,simulate:499207,simulate:499204,simulate:499205,simulate:499213,simulate:499211,simulate:499212	4
chr9:135577350|135577774	chr9	135577350	135577774	5	4_5_0	0	1.00	exon	ENSG00000237339.5	+	simulate:516687,simulate:516689,simulate:516688,simulate:516690,simulate:516691	4
chr9:135616587|135617016	chr9	135616587	135617016	2	2_2_0	0	1.00	exon	ENSG00000236543.3	+	simulate:501965,simulate:501966	2
chr9:136016265|136050580	chr9	136016265	136050580	5	5_4_0	0	1.00	exon	ENSG00000148411.8	-	simulate:524045,simulate:524067,simulate:524052,simulate:524070,simulate:524060	4
chr9:136432479|136434134	chr9	136432479	136434134	7	4_6_0	11	0.56	exon	ENSG00000148384.14	-	simulate:507841,simulate:507852,simulate:507850,simulate:507843,simulate:507849,simulate:507847,simulate:507846	3
chr9:136755412|136757168	chr9	136755412	136757168	6	4_5_0	0	1.00	exon	ENSG00000204001.10	-	simulate:496439,simulate:496438,simulate:496446,simulate:496450,simulate:496452,simulate:496441	3
chr9:136791947|136792358	chr9	136791947	136792358	3	2_2_0	2	0.75	exon	ENSG00000272896.1	+	simulate:484167,simulate:484165,simulate:484164	1
chr9:136806385|136807202	chr9	136806385	136807202	5	4_4_0	0	1.00	exon	ENSG00000228544.1	-	simulate:487824,simulate:487812,simulate:487810,simulate:487809,simulate:487806	3
chr9:136952892|136953779	chr9	136952892	136953779	5	4_4_1	1	0.91	exon	ENSG00000184925.12	+	simulate:491206,simulate:491208,simulate:491210,simulate:491203,simulate:491201	4
chr9:136979223|136980855	chr9	136979223	136980855	3	1_1_2	0	1.00	exon	ENSG00000284341.1	+	simulate:520184,simulate:520185,simulate:520186	0
chr9:136995442|136995757	chr9	136995442	136995757	2	1_2_0	4	0.50	exon	ENSG00000169583.13	-	simulate:496652,simulate:496651	1
chr9:137022941|137024236	chr9	137022941	137024236	3	3_2_0	0	1.00	exon	ENSG00000107331.18	-	simulate:500000,simulate:499999,simulate:499997	2
chr9:137033193|137035282	chr9	137033193	137035282	6	0_5_4	0	1.00	exon	ENSG00000180539.8	+	simulate:510838,simulate:510847,simulate:510845,simulate:510842,simulate:510843,simulate:510840	3
chr9:137051510|137052348	chr9	137051510	137052348	5	3_3_0	13	0.43	exon	ENSG00000054179.12	-	simulate:487058,simulate:487064,simulate:487063,simulate:487061,simulate:487060	0
chr9:137161289|137162739	chr9	137161289	137162739	7	5_6_0	0	1.00	exon	ENSG00000176884.16	+	simulate:503781,simulate:503770,simulate:503763,simulate:503777,simulate:503766,simulate:503778,simulate:503758	4
chr9:137352620|137352944	chr9	137352620	137352944	5	3_2_2	9	0.53	exon	ENSG00000187609.16	-	simulate:504540,simulate:504542,simulate:504537,simulate:504536,simulate:504539	2
chr9:137430784|137433074	chr9	137430784	137433074	4	3_2_2	0	1.00	exon	ENSG00000188747.9	+	simulate:511256,simulate:511254,simulate:511255,simulate:511252	3
chr9:137437159|137438084	chr9	137437159	137438084	5	3_4_0	0	1.00	exon	ENSG00000188833.10	-	simulate:517755,simulate:517757,simulate:517759,simulate:517761,simulate:517762	3
chr9:137612896|137613769	chr9	137612896	137613769	4	4_3_0	1	0.89	exon	ENSG00000197070.14	+	simulate:521288,simulate:521289,simulate:521286,simulate:521290	3
