circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID	Score
chr9:32420856|32427436	chr9	32420856	32427436	5	1_4_1	20	0.33	exon	ENSG00000122729.19	+	simulate:502274,simulate:502266,simulate:502276,simulate:502265,simulate:502267	1
chr9:32481340|32489451	chr9	32481340	32489451	10	8_8_0	2	0.91	exon	ENSG00000288684.1	-	simulate:491105,simulate:491077,simulate:491110,simulate:491100,simulate:491097,simulate:491068,simulate:491102,simulate:491070,simulate:491090,simulate:491074	6
chr9:32485175|32489451	chr9	32485175	32489451	9	9_7_0	4	0.82	exon	ENSG00000288684.1	-	simulate:496826,simulate:496815,simulate:496825,simulate:496827,simulate:496838,simulate:496822,simulate:496833,simulate:496820,simulate:496831	7
chr9:33318731|33338589	chr9	33318731	33338589	6	6_3_0	13	0.48	exon	ENSG00000086102.19	+	simulate:475770,simulate:475761,simulate:475751,simulate:475764,simulate:475766,simulate:475767	3
chr9:33508359|33510711	chr9	33508359	33510711	7	3_4_3	0	1.00	exon	ENSG00000226823.1	-	simulate:511748,simulate:511749,simulate:511746,simulate:511745,simulate:511743,simulate:511751,simulate:511750	2
chr9:33886881|33900271	chr9	33886881	33900271	6	4_5_0	11	0.52	exon	ENSG00000107341.5	+	simulate:507021,simulate:507020,simulate:507016,simulate:507019,simulate:507018,simulate:507017	3
chr9:33943420|33944639	chr9	33943420	33944639	6	4_5_0	6	0.67	exon	ENSG00000137073.24	-	simulate:480981,simulate:480982,simulate:480984,simulate:480985,simulate:480986,simulate:480987	5
chr9:34096716|34098517	chr9	34096716	34098517	7	4_6_3	0	1.00	exon	ENSG00000198876.13	-	simulate:487304,simulate:487303,simulate:487302,simulate:487301,simulate:487299,simulate:487297,simulate:487296	6
chr9:34381369|34385781	chr9	34381369	34385781	8	6_5_2	0	1.00	exon	ENSG00000164972.14	-	simulate:488379,simulate:488376,simulate:488385,simulate:488384,simulate:488372,simulate:488383,simulate:488382,simulate:488371	5
chr9:34487946|34490124	chr9	34487946	34490124	2	1_1_1	2	0.67	exon	ENSG00000122735.16	+	simulate:488965,simulate:488964	1
chr9:34556255|34564832	chr9	34556255	34564832	3	3_3_0	0	1.00	exon	ENSG00000122756.15	-	simulate:514123,simulate:514126,simulate:514120	3
chr9:34623864|34628086	chr9	34623864	34628086	2	2_2_0	0	1.00	exon	ENSG00000205143.5	-	simulate:487009,simulate:487005	2
chr9:35562875|35563389	chr9	35562875	35563389	2	1_2_0	14	0.22	exon	ENSG00000215187.13	-	simulate:487606,simulate:487608	1
chr9:35606237|35607672	chr9	35606237	35607672	2	1_2_0	16	0.20	exon	ENSG00000107140.16	+	simulate:490827,simulate:490828	1
chr9:35611804|35618121	chr9	35611804	35618121	6	3_6_0	9	0.57	exon	ENSG00000137101.14	-	simulate:484537,simulate:484548,simulate:484555,simulate:484561,simulate:484562,simulate:484528	3
chr9:35750658|35751754	chr9	35750658	35751754	8	7_6_0	16	0.50	exon	ENSG00000107185.10	+	simulate:509620,simulate:509644,simulate:509633,simulate:509640,simulate:509629,simulate:509618,simulate:509615,simulate:509626	5
chr9:37489315|37495276	chr9	37489315	37495276	6	5_4_1	0	1.00	exon	ENSG00000137054.16	+	simulate:492503,simulate:492497,simulate:492496,simulate:492494,simulate:492501,simulate:492499	3
chr9:37521569|37529260	chr9	37521569	37529260	6	3_5_0	3	0.80	exon	ENSG00000256966.6	-	simulate:492386,simulate:492385,simulate:492379,simulate:492390,simulate:492371,simulate:492381	2
chr9:37522825|37532058	chr9	37522825	37532058	10	8_9_0	8	0.71	exon	ENSG00000256966.6	-	simulate:489090,simulate:489081,simulate:489092,simulate:489082,simulate:489094,simulate:489084,simulate:489095,simulate:489085,simulate:489087,simulate:489089	7
chr9:37719069|37731103	chr9	37719069	37731103	6	6_5_0	0	1.00	exon	ENSG00000070601.10	+	simulate:516368,simulate:516367,simulate:516369,simulate:516380,simulate:516381,simulate:516375	5
chr9:37762577|37770019	chr9	37762577	37770019	9	7_4_2	0	1.00	exon	ENSG00000165275.10	+	simulate:484965,simulate:484977,simulate:484975,simulate:484964,simulate:484973,simulate:484970,simulate:484971,simulate:484967,simulate:484979	3
chr9:38413237|38414203	chr9	38413237	38414203	4	3_3_0	0	1.00	exon	ENSG00000137142.5	-	simulate:488915,simulate:488914,simulate:488917,simulate:488916	2
chr9:68387463|68465208	chr9	68387463	68465208	14	11_10_0	13	0.68	exon	ENSG00000154330.13	+	simulate:502750,simulate:502752,simulate:502754,simulate:502743,simulate:502753,simulate:502745,simulate:502756,simulate:502755,simulate:502758,simulate:502757,simulate:502738,simulate:502748,simulate:502737,simulate:502739	3
chr9:69046385|69065035	chr9	69046385	69065035	6	5_3_0	13	0.48	exon	ENSG00000165060.15	+	simulate:498051,simulate:498049,simulate:498046,simulate:498045,simulate:498048,simulate:498052	1
chr9:69227765|69230232	chr9	69227765	69230232	6	4_5_0	1	0.92	exon	ENSG00000119139.21	+	simulate:499690,simulate:499700,simulate:499698,simulate:499685,simulate:499696,simulate:499693	3
chr9:69375736|69383759	chr9	69375736	69383759	5	4_2_0	0	1.00	exon	ENSG00000135063.20	+	simulate:477610,simulate:477599,simulate:477601,simulate:477616,simulate:477606	1
chr9:72056784|72059384	chr9	72056784	72059384	4	2_4_0	4	0.67	exon	ENSG00000204669.11	-	simulate:496917,simulate:496914,simulate:496920,simulate:496911	2
chr9:72197462|72213991	chr9	72197462	72213991	3	2_3_0	0	1.00	exon	ENSG00000119125.17	+	simulate:511144,simulate:511156,simulate:511164	2
chr9:74782679|74800482	chr9	74782679	74800482	2	2_2_0	0	1.00	exon	ENSG00000119121.22	-	simulate:485045,simulate:485041	2
chr9:79138523|79143231	chr9	79138523	79143231	7	4_2_5	0	1.00	exon	ENSG00000260995.3	-	simulate:482247,simulate:482249,simulate:482248,simulate:482254,simulate:482253,simulate:482250,simulate:482252	4
chr9:83299112|83311975	chr9	83299112	83311975	3	3_3_0	0	1.00	exon	ENSG00000172159.16	-	simulate:480181,simulate:480182,simulate:480183	3
chr9:83628007|83628959	chr9	83628007	83628959	2	1_2_0	10	0.29	exon	ENSG00000148057.16	+	simulate:483874,simulate:483873	1
chr9:83887041|83888592	chr9	83887041	83888592	5	5_3_0	3	0.77	exon	ENSG00000165115.15	-	simulate:476681,simulate:476683,simulate:476684,simulate:476677,simulate:476679	0
chr9:84670377|84707912	chr9	84670377	84707912	3	3_2_0	7	0.46	exon	ENSG00000148053.18	+	simulate:478672,simulate:478664,simulate:478668	2
chr9:85621202|85657643	chr9	85621202	85657643	7	5_5_1	2	0.88	exon	ENSG00000135049.16	-	simulate:509340,simulate:509357,simulate:509364,simulate:509354,simulate:509355,simulate:509344,simulate:509339	4
chr9:85958472|85975033	chr9	85958472	85975033	2	2_1_0	0	1.00	exon	ENSG00000135040.16	+	simulate:500652,simulate:500653	1
chr9:86950867|86987615	chr9	86950867	86987615	6	5_2_0	1	0.92	exon	ENSG00000226237.3	+	simulate:501150,simulate:501151,simulate:501152,simulate:501154,simulate:501155,simulate:501148	3
chr9:87498970|87605175	chr9	87498970	87605175	9	8_7_0	0	1.00	exon	ENSG00000196730.13	+	simulate:481103,simulate:481105,simulate:481098,simulate:481101,simulate:481094,simulate:481097,simulate:481093,simulate:481106,simulate:481107	6
chr9:88426382|88448989	chr9	88426382	88448989	8	6_2_3	5	0.76	exon	ENSG00000106723.17	+	simulate:479495,simulate:479488,simulate:479489,simulate:479490,simulate:479493,simulate:479494,simulate:479491,simulate:479492	5
chr9:88640511|88647660	chr9	88640511	88647660	5	4_5_0	0	1.00	exon	ENSG00000228189.5	-	simulate:510969,simulate:510977,simulate:510966,simulate:510970,simulate:511002	3
chr9:89334522|89347048	chr9	89334522	89347048	6	5_5_0	16	0.43	exon	ENSG00000187742.15	+	simulate:496628,simulate:496638,simulate:496626,simulate:496636,simulate:496631,simulate:496641	3
chr9:89672757|89673487	chr9	89672757	89673487	2	1_2_0	0	1.00	exon	ENSG00000237372.4	+	simulate:492332,simulate:492344	1
chr9:90507258|90508941	chr9	90507258	90508941	5	4_5_0	1	0.91	exon	ENSG00000229613.2	-	simulate:499468,simulate:499466,simulate:499467,simulate:499464,simulate:499471	4
chr9:90864589|90874849	chr9	90864589	90874849	4	3_3_1	14	0.36	exon	ENSG00000165025.15	+	simulate:488587,simulate:488585,simulate:488582,simulate:488581	3
chr9:92188518|92189635	chr9	92188518	92189635	10	8_8_0	3	0.87	exon	ENSG00000276717.2	-	simulate:507081,simulate:507074,simulate:507085,simulate:507084,simulate:507082,simulate:507078,simulate:507088,simulate:507076,simulate:507087,simulate:507075	6
chr9:92321668|92323503	chr9	92321668	92323503	5	3_4_0	0	1.00	exon	ENSG00000198000.12	-	simulate:492079,simulate:492078,simulate:492077,simulate:492076,simulate:492075	4
chr9:92470669|92474927	chr9	92470669	92474927	4	3_4_0	0	1.00	exon	ENSG00000106819.13	-	simulate:478121,simulate:478120,simulate:478123,simulate:478124	3
chr9:92634386|92635246	chr9	92634386	92635246	4	4_4_0	13	0.38	exon	ENSG00000127080.10	-	simulate:490995,simulate:490996,simulate:490991,simulate:490992	4
chr9:92882567|92884000	chr9	92882567	92884000	9	7_5_0	0	1.00	exon	ENSG00000226668.5	+	simulate:495149,simulate:495138,simulate:495139,simulate:495145,simulate:495146,simulate:495136,simulate:495147,simulate:495142,simulate:495140	2
chr9:93107674|93110721	chr9	93107674	93110721	4	3_4_0	0	1.00	exon	ENSG00000165233.18	+	simulate:505731,simulate:505737,simulate:505734,simulate:505735	3
chr9:93261814|93268065	chr9	93261814	93268065	2	2_1_0	0	1.00	exon	ENSG00000165238.17	+	simulate:500866,simulate:500869	1
chr9:94199198|94223308	chr9	94199198	94223308	3	1_2_2	0	1.00	exon	ENSG00000230262.8	-	simulate:509920,simulate:509916,simulate:509919	2
chr9:94498056|94502641	chr9	94498056	94502641	4	2_3_0	11	0.42	exon	ENSG00000224245.1	+	simulate:477920,simulate:477922,simulate:477921,simulate:477919	1
chr9:94567270|94587469	chr9	94567270	94587469	10	7_8_0	15	0.57	exon	ENSG00000130957.5	-	simulate:480521,simulate:480533,simulate:480527,simulate:480539,simulate:480528,simulate:480529,simulate:480519,simulate:480534,simulate:480526,simulate:480537	4
chr9:94606815|94617860	chr9	94606815	94617860	11	8_8_0	11	0.67	exon	ENSG00000165140.12	-	simulate:506202,simulate:506201,simulate:506212,simulate:506211,simulate:506210,simulate:506206,simulate:506205,simulate:506204,simulate:506214,simulate:506209,simulate:506208	8
chr9:96465337|96465778	chr9	96465337	96465778	3	3_1_0	0	1.00	exon	ENSG00000130956.14	+	simulate:517190,simulate:517191,simulate:517189	1
chr9:96844890|96852005	chr9	96844890	96852005	7	5_2_2	7	0.67	exon	ENSG00000196597.13	-	simulate:487507,simulate:487506,simulate:487505,simulate:487504,simulate:487510,simulate:487509,simulate:487508	0
chr9:97323781|97347666	chr9	97323781	97347666	5	4_3_0	10	0.50	exon	ENSG00000255036.6	+	simulate:509799,simulate:509832,simulate:509795,simulate:509817,simulate:509833	2
chr9:97516213|97516818	chr9	97516213	97516818	9	7_7_0	0	1.00	exon	ENSG00000228174.7	-	simulate:507272,simulate:507271,simulate:507270,simulate:507281,simulate:507276,simulate:507275,simulate:507274,simulate:507273,simulate:507269	5
chr9:97648008|97656085	chr9	97648008	97656085	4	2_3_1	12	0.40	exon	ENSG00000136937.13	+	simulate:493339,simulate:493342,simulate:493347,simulate:493340	2
chr9:98371464|98406141	chr9	98371464	98406141	2	2_2_0	14	0.22	exon	ENSG00000136928.7	-	simulate:495859,simulate:495862	2
chr9:100326302|100330169	chr9	100326302	100330169	6	5_6_0	0	1.00	exon	ENSG00000136891.14	-	simulate:498829,simulate:498825,simulate:498826,simulate:498824,simulate:498832,simulate:498822	5
chr9:101399028|101399530	chr9	101399028	101399530	5	4_5_0	3	0.77	exon	ENSG00000136870.11	+	simulate:498668,simulate:498667,simulate:498672,simulate:498675,simulate:498671	4
chr9:101613376|101671107	chr9	101613376	101671107	6	5_2_0	4	0.75	exon	ENSG00000198785.7	-	simulate:500609,simulate:500592,simulate:500593,simulate:500640,simulate:500603,simulate:500617	1
chr9:104132009|104134575	chr9	104132009	104134575	7	6_5_0	4	0.78	exon	ENSG00000136824.19	+	simulate:502563,simulate:502556,simulate:502566,simulate:502555,simulate:502558,simulate:502557,simulate:502559	3
chr9:104750956|104753064	chr9	104750956	104753064	4	2_3_0	2	0.80	exon	ENSG00000136783.10	+	simulate:488218,simulate:488217,simulate:488215,simulate:488220	1
chr9:104884427|104889195	chr9	104884427	104889195	3	3_2_0	0	1.00	exon	ENSG00000165029.17	-	simulate:496924,simulate:496927,simulate:496926	2
chr9:105479354|105508715	chr9	105479354	105508715	3	0_2_3	31	0.16	exon	ENSG00000106701.13	+	simulate:501440,simulate:501442,simulate:501443	2
chr9:105604215|105620061	chr9	105604215	105620061	5	5_4_0	7	0.59	exon	ENSG00000106692.15	+	simulate:510939,simulate:510958,simulate:510956,simulate:510954,simulate:510951	3
chr9:105705597|105721721	chr9	105705597	105721721	7	6_4_1	0	1.00	exon	ENSG00000095209.12	+	simulate:515212,simulate:515202,simulate:515214,simulate:515205,simulate:515206,simulate:515209,simulate:515210	3
chr9:107302035|107318879	chr9	107302035	107318879	5	3_3_0	3	0.77	exon	ENSG00000119318.13	+	simulate:499208,simulate:499209,simulate:499202,simulate:499214,simulate:499200	0
chr9:109050570|109064567	chr9	109050570	109064567	6	2_5_0	16	0.43	exon	ENSG00000106771.13	-	simulate:490557,simulate:490555,simulate:490550,simulate:490564,simulate:490565,simulate:490552	2
chr9:110250820|110251462	chr9	110250820	110251462	2	1_2_0	0	1.00	exon	ENSG00000136810.13	-	simulate:510424,simulate:510425	1
chr9:110329232|110334320	chr9	110329232	110334320	6	1_5_3	4	0.75	exon	ENSG00000204193.11	-	simulate:511887,simulate:511888,simulate:511885,simulate:511886,simulate:511890,simulate:511891	3
chr9:112804776|112838697	chr9	112804776	112838697	7	5_5_0	4	0.78	exon	ENSG00000148158.17	+	simulate:504211,simulate:504230,simulate:504220,simulate:504226,simulate:504212,simulate:504219,simulate:504227	3
chr9:112959793|112961814	chr9	112959793	112961814	6	5_5_0	0	1.00	exon	ENSG00000237906.1	-	simulate:497529,simulate:497537,simulate:497539,simulate:497533,simulate:497532,simulate:497540	4
chr9:113256114|113257185	chr9	113256114	113257185	4	3_2_0	0	1.00	exon	ENSG00000136868.11	+	simulate:509371,simulate:509372,simulate:509369,simulate:509375	1
chr9:113282646|113286828	chr9	113282646	113286828	6	3_6_0	0	1.00	exon	ENSG00000136875.13	+	simulate:500972,simulate:500975,simulate:500965,simulate:500977,simulate:500966,simulate:500979	3
chr9:113354240|113360737	chr9	113354240	113360737	7	5_6_0	15	0.48	exon	ENSG00000119411.11	+	simulate:504393,simulate:504392,simulate:504397,simulate:504398,simulate:504395,simulate:504400,simulate:504403	4
chr9:113421103|113424316	chr9	113421103	113424316	3	2_1_1	12	0.33	exon	ENSG00000157653.12	+	simulate:484941,simulate:484940,simulate:484947	3
chr9:114343708|114346009	chr9	114343708	114346009	10	7_10_0	0	1.00	exon	ENSG00000106948.17	-	simulate:512394,simulate:512393,simulate:512392,simulate:512391,simulate:512390,simulate:512400,simulate:512389,simulate:512399,simulate:512398,simulate:512397	6
chr9:114668206|114671827	chr9	114668206	114671827	6	5_6_0	0	1.00	exon	ENSG00000230601.7	-	simulate:498180,simulate:498183,simulate:498182,simulate:498179,simulate:498184,simulate:498186	5
chr9:119248960|119313405	chr9	119248960	119313405	11	7_7_0	0	1.00	exon	ENSG00000078725.13	-	simulate:486869,simulate:486867,simulate:486878,simulate:486877,simulate:486888,simulate:486887,simulate:486875,simulate:486885,simulate:486872,simulate:486871,simulate:486880	3
chr9:120824494|120831945	chr9	120824494	120831945	2	1_2_0	0	1.00	exon	ENSG00000095261.14	-	simulate:497525,simulate:497524	0
chr9:120991191|121008498	chr9	120991191	121008498	10	8_8_0	0	1.00	exon	ENSG00000106804.9	-	simulate:497469,simulate:497474,simulate:497463,simulate:497462,simulate:497476,simulate:497487,simulate:497464,simulate:497480,simulate:497471,simulate:497482	5
chr9:121313934|121318880	chr9	121313934	121318880	5	5_4_0	1	0.91	exon	ENSG00000148180.21	+	simulate:475371,simulate:475373,simulate:475364,simulate:475365,simulate:475368	4
chr9:121354601|121356156	chr9	121354601	121356156	4	2_4_0	0	1.00	exon	ENSG00000148175.13	-	simulate:480153,simulate:480150,simulate:480151,simulate:480149	2
chr9:122270864|122285287	chr9	122270864	122285287	6	6_4_0	0	1.00	exon	ENSG00000148187.18	+	simulate:489720,simulate:489721,simulate:489712,simulate:489714,simulate:489715,simulate:489728	0
chr9:122576766|122578445	chr9	122576766	122578445	6	5_3_0	0	1.00	exon	ENSG00000171496.5	-	simulate:505523,simulate:505524,simulate:505522,simulate:505516,simulate:505515,simulate:505518	2
chr9:124301936|124321569	chr9	124301936	124321569	8	8_8_0	0	1.00	exon	ENSG00000119408.17	+	simulate:495156,simulate:495167,simulate:495168,simulate:495169,simulate:495164,simulate:495154,simulate:495165,simulate:495166	8
chr9:124538092|124554570	chr9	124538092	124554570	9	7_5_0	6	0.75	exon	ENSG00000148200.17	-	simulate:507940,simulate:507933,simulate:507921,simulate:507926,simulate:507934,simulate:507928,simulate:507927,simulate:507938,simulate:507916	3
chr9:124855634|124856600	chr9	124855634	124856600	7	7_4_0	0	1.00	exon	ENSG00000136918.8	+	simulate:492537,simulate:492548,simulate:492546,simulate:492539,simulate:492552,simulate:492545,simulate:492543	4
chr9:125003114|125003690	chr9	125003114	125003690	6	5_4_0	8	0.60	exon	ENSG00000173611.18	-	simulate:489303,simulate:489304,simulate:489305,simulate:489306,simulate:489307,simulate:489308	3
chr9:125203008|125213522	chr9	125203008	125213522	5	2_3_2	25	0.29	exon	ENSG00000136933.17	+	simulate:509491,simulate:509488,simulate:509489,simulate:509484,simulate:509486	2
chr9:125323798|125341264	chr9	125323798	125341264	11	8_8_1	0	1.00	exon	ENSG00000165219.23	+	simulate:486209,simulate:486207,simulate:486204,simulate:486238,simulate:486202,simulate:486233,simulate:486211,simulate:486212,simulate:486245,simulate:486231,simulate:486232	8
chr9:125543059|125657799	chr9	125543059	125657799	2	1_2_0	1	0.80	exon	ENSG00000119487.17	-	simulate:486820,simulate:486815	1
chr9:126381064|126386658	chr9	126381064	126386658	2	2_2_0	5	0.44	exon	ENSG00000196814.15	+	simulate:509942,simulate:509944	2
chr9:126615383|126693601	chr9	126615383	126693601	3	2_2_1	0	1.00	exon	ENSG00000136944.19	+	simulate:512668,simulate:512667,simulate:512665	1
chr9:126965844|126977745	chr9	126965844	126977745	4	3_1_3	0	1.00	exon	ENSG00000136828.19	+	simulate:477810,simulate:477806,simulate:477809,simulate:477808	3
chr9:127318063|127333121	chr9	127318063	127333121	8	3_6_2	0	1.00	exon	ENSG00000136895.19	+	simulate:490000,simulate:489990,simulate:489992,simulate:489993,simulate:489994,simulate:489995,simulate:489997,simulate:489999	3
chr9:127709422|127712349	chr9	127709422	127712349	4	4_2_0	0	1.00	exon	ENSG00000160401.15	+	simulate:480773,simulate:480770,simulate:480771,simulate:480766	2
chr9:127720078|127724364	chr9	127720078	127724364	8	6_5_0	6	0.73	exon	ENSG00000167094.16	+	simulate:500231,simulate:500221,simulate:500233,simulate:500234,simulate:500215,simulate:500217,simulate:500218,simulate:500219	3
chr9:127817759|127818389	chr9	127817759	127818389	7	7_7_0	12	0.54	exon	ENSG00000225032.5	+	simulate:516620,simulate:516614,simulate:516616,simulate:516615,simulate:516618,simulate:516617,simulate:516619	6
chr9:128190329|128190862	chr9	128190329	128190862	5	2_4_0	2	0.83	exon	ENSG00000148337.22	-	simulate:487049,simulate:487047,simulate:487045,simulate:487042,simulate:487041	1
chr9:128789874|128791693	chr9	128789874	128791693	6	4_5_0	1	0.92	exon	ENSG00000107021.16	+	simulate:490285,simulate:490286,simulate:490283,simulate:490287,simulate:490288,simulate:490281	4
chr9:128832291|128835667	chr9	128832291	128835667	3	2_3_0	2	0.75	exon	ENSG00000286112.1	-	simulate:506611,simulate:506615,simulate:506625	2
chr9:128933782|128934058	chr9	128933782	128934058	4	3_2_1	0	1.00	exon	ENSG00000175287.19	+	simulate:503498,simulate:503497,simulate:503500,simulate:503499	4
chr9:128949189|128952846	chr9	128949189	128952846	2	0_1_2	4	0.50	exon	ENSG00000095319.14	+	simulate:490059,simulate:490060	1
chr9:129085023|129085306	chr9	129085023	129085306	4	4_4_0	0	1.00	exon	ENSG00000167130.18	+	simulate:497603,simulate:497602,simulate:497605,simulate:497604	4
chr9:129615484|129620743	chr9	129615484	129620743	7	7_6_0	0	1.00	exon	ENSG00000179058.7	-	simulate:506752,simulate:506763,simulate:506751,simulate:506756,simulate:506755,simulate:506749,simulate:506758	4
chr9:129830871|129834766	chr9	129830871	129834766	4	3_0_1	14	0.36	exon	ENSG00000136819.15	-	simulate:485369,simulate:485373,simulate:485374,simulate:485370	0
chr9:130219725|130222738	chr9	130219725	130222738	3	2_2_0	20	0.23	exon	ENSG00000107130.10	+	simulate:503472,simulate:503471,simulate:503473	1
chr9:130466725|130476961	chr9	130466725	130476961	7	3_2_3	0	1.00	exon	ENSG00000130707.18	+	simulate:499929,simulate:499925,simulate:499926,simulate:499924,simulate:499932,simulate:499922,simulate:499930	1
chr9:130695492|130697627	chr9	130695492	130697627	5	3_1_2	1	0.91	exon	ENSG00000130713.17	+	simulate:498679,simulate:498678,simulate:498683,simulate:498680,simulate:498682	2
chr9:131126412|131127719	chr9	131126412	131127719	6	2_6_3	0	1.00	exon	ENSG00000126883.19	+	simulate:496400,simulate:496399,simulate:496395,simulate:496398,simulate:496397,simulate:496391	5
chr9:131619051|131621998	chr9	131619051	131621998	2	2_2_0	9	0.31	exon	ENSG00000107263.19	-	simulate:496715,simulate:496714	2
chr9:132390597|132398326	chr9	132390597	132398326	6	6_4_0	0	1.00	exon	ENSG00000125482.13	-	simulate:481542,simulate:481523,simulate:481539,simulate:481528,simulate:481529,simulate:481526	4
chr9:132498695|132499600	chr9	132498695	132499600	5	4_4_0	9	0.53	exon	ENSG00000188523.9	+	simulate:515256,simulate:515249,simulate:515250,simulate:515253,simulate:515255	3
chr9:132661208|132670401	chr9	132661208	132670401	5	1_3_4	3	0.77	exon	ENSG00000125485.18	-	simulate:479950,simulate:479962,simulate:479967,simulate:479966,simulate:479958	2
chr9:132826854|132854925	chr9	132826854	132854925	7	5_3_1	0	1.00	exon	ENSG00000165695.10	-	simulate:515861,simulate:515862,simulate:515852,simulate:515853,simulate:515858,simulate:515859,simulate:515860	3
chr9:133065040|133066945	chr9	133065040	133066945	7	6_6_1	11	0.56	exon	ENSG00000170835.17	+	simulate:492018,simulate:492024,simulate:492013,simulate:492022,simulate:492021,simulate:492015,simulate:492014	4
chr9:133518874|133520288	chr9	133518874	133520288	5	4_4_0	0	1.00	exon	ENSG00000187616.5	-	simulate:501751,simulate:501752,simulate:501753,simulate:501754,simulate:501755	2
chr9:133544470|133555930	chr9	133544470	133555930	7	6_7_0	12	0.54	exon	ENSG00000197859.11	+	simulate:486413,simulate:486403,simulate:486414,simulate:486399,simulate:486421,simulate:486392,simulate:486390	5
chr9:133643413|133651777	chr9	133643413	133651777	10	5_6_0	0	1.00	exon	ENSG00000123454.12	+	simulate:514157,simulate:514158,simulate:514169,simulate:514148,simulate:514171,simulate:514162,simulate:514152,simulate:514175,simulate:514164,simulate:514166	4
chr9:133702916|133731484	chr9	133702916	133731484	8	7_7_0	8	0.67	exon	ENSG00000123453.19	-	simulate:513352,simulate:513372,simulate:513371,simulate:513393,simulate:513348,simulate:513357,simulate:513389,simulate:513375	6
chr9:134045293|134051709	chr9	134045293	134051709	9	6_7_0	0	1.00	exon	ENSG00000169925.17	-	simulate:498758,simulate:498738,simulate:498759,simulate:498754,simulate:498767,simulate:498765,simulate:498762,simulate:498763,simulate:498752	6
chr9:135500570|135501123	chr9	135500570	135501123	8	5_6_0	2	0.89	exon	ENSG00000122140.12	+	simulate:499094,simulate:499092,simulate:499090,simulate:499101,simulate:499088,simulate:499099,simulate:499089,simulate:499098	5
chr9:135561758|135565514	chr9	135561758	135565514	6	5_6_0	9	0.57	exon	ENSG00000122133.17	+	simulate:514541,simulate:514552,simulate:514542,simulate:514537,simulate:514538,simulate:514539	5
chr9:135605215|135615498	chr9	135605215	135615498	5	4_2_0	9	0.53	exon	ENSG00000236543.3	+	simulate:492768,simulate:492767,simulate:492770,simulate:492774,simulate:492773	1
