circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID	Score
chr9:43111266|43119686	chr9	43111266	43119686	7	6_1_0	9	0.61	exon	ENSG00000277737.3	-	simulate:513264,simulate:513262,simulate:513260,simulate:513259,simulate:513269,simulate:513268,simulate:513265	0
chr9:66182326|66184776	chr9	66182326	66184776	11	4_8_0	0	1.00	exon	ENSG00000284611.1	+	simulate:483049,simulate:483075,simulate:483064,simulate:483074,simulate:483065,simulate:483082,simulate:483060,simulate:483062,simulate:483051,simulate:483061,simulate:483080	0
chr9:69218257|69228114	chr9	69218257	69228114	4	3_3_0	1	0.89	exon	ENSG00000119139.21	+	simulate:505262,simulate:505267,simulate:505276,simulate:505259	2
chr9:69371499|69383759	chr9	69371499	69383759	9	6_6_0	0	1.00	exon	ENSG00000135063.20	+	simulate:504273,simulate:504254,simulate:504265,simulate:504277,simulate:504255,simulate:504264,simulate:504286,simulate:504275,simulate:504269	3
chr9:72305436|72315090	chr9	72305436	72315090	3	3_3_0	0	1.00	exon	ENSG00000225434.4	+	simulate:502765,simulate:502767,simulate:502768	3
chr9:72927116|72931019	chr9	72927116	72931019	4	1_3_1	19	0.30	exon	ENSG00000165092.13	-	simulate:482477,simulate:482474,simulate:482473,simulate:482472	1
chr9:74634631|74662606	chr9	74634631	74662606	7	4_4_0	3	0.82	exon	ENSG00000198963.11	+	simulate:479693,simulate:479721,simulate:479700,simulate:479712,simulate:479707,simulate:479706,simulate:479709	3
chr9:74782679|74800482	chr9	74782679	74800482	3	3_2_0	0	1.00	exon	ENSG00000119121.22	-	simulate:482027,simulate:482047,simulate:482063	2
chr9:75016268|75017448	chr9	75016268	75017448	4	3_2_0	13	0.38	exon	ENSG00000156017.13	-	simulate:513202,simulate:513201,simulate:513200,simulate:513199	1
chr9:75069742|75077580	chr9	75069742	75077580	7	4_5_1	0	1.00	exon	ENSG00000106733.21	-	simulate:512978,simulate:512988,simulate:512984,simulate:512983,simulate:512982,simulate:512992,simulate:512981	3
chr9:76189631|76292275	chr9	76189631	76292275	3	2_0_2	0	1.00	exon	ENSG00000099139.14	+	simulate:486841,simulate:486839,simulate:486838	1
chr9:78246669|78253277	chr9	78246669	78253277	5	4_2_2	0	1.00	exon	ENSG00000148019.14	+	simulate:505340,simulate:505333,simulate:505329,simulate:505327,simulate:505339	3
chr9:81616646|81620557	chr9	81616646	81620557	4	1_4_1	1	0.89	exon	ENSG00000196781.16	-	simulate:506699,simulate:506696,simulate:506695,simulate:506694	2
chr9:81974082|81976806	chr9	81974082	81976806	9	8_2_0	12	0.60	exon	ENSG00000267559.5	-	simulate:494500,simulate:494497,simulate:494498,simulate:494510,simulate:494499,simulate:494508,simulate:494509,simulate:494505,simulate:494507	1
chr9:82277049|82349848	chr9	82277049	82349848	6	3_1_4	1	0.92	exon	ENSG00000228430.9	+	simulate:473039,simulate:473027,simulate:473036,simulate:473034,simulate:473033,simulate:473032	2
chr9:83311887|83343287	chr9	83311887	83343287	4	2_2_0	10	0.44	exon	ENSG00000172159.16	-	simulate:512603,simulate:512601,simulate:512600,simulate:512597	2
chr9:83669185|83680037	chr9	83669185	83680037	4	4_3_0	3	0.73	exon	ENSG00000135018.14	-	simulate:474852,simulate:474845,simulate:474857,simulate:474848	3
chr9:83883813|83891501	chr9	83883813	83891501	6	4_3_0	0	1.00	exon	ENSG00000165115.15	-	simulate:495107,simulate:495108,simulate:495135,simulate:495104,simulate:495115,simulate:495140	0
chr9:84707844|84724356	chr9	84707844	84724356	6	1_5_2	13	0.48	exon	ENSG00000148053.18	+	simulate:491547,simulate:491546,simulate:491550,simulate:491555,simulate:491563,simulate:491553	2
chr9:85175476|85182840	chr9	85175476	85182840	4	3_3_0	6	0.57	exon	ENSG00000285556.1	+	simulate:478912,simulate:478914,simulate:478907,simulate:478917	2
chr9:85621202|85646418	chr9	85621202	85646418	3	3_2_0	0	1.00	exon	ENSG00000135049.16	-	simulate:480680,simulate:480683,simulate:480700	2
chr9:87727594|87728396	chr9	87727594	87728396	6	4_5_0	0	1.00	exon	ENSG00000135047.16	+	simulate:480673,simulate:480663,simulate:480671,simulate:480672,simulate:480666,simulate:480669	3
chr9:88072732|88073036	chr9	88072732	88073036	4	2_4_0	7	0.53	exon	ENSG00000287750.2	-	simulate:511194,simulate:511192,simulate:511188,simulate:511189	2
chr9:90864589|90874291	chr9	90864589	90874291	6	5_6_0	3	0.80	exon	ENSG00000165025.15	+	simulate:505776,simulate:505777,simulate:505775,simulate:505778,simulate:505779,simulate:505772	5
chr9:92135461|92136537	chr9	92135461	92136537	10	6_6_2	2	0.91	exon	ENSG00000234537.1	+	simulate:481388,simulate:481389,simulate:481378,simulate:481379,simulate:481384,simulate:481374,simulate:481385,simulate:481387,simulate:481376,simulate:481392	4
chr9:92188518|92189635	chr9	92188518	92189635	4	3_2_0	0	1.00	exon	ENSG00000276717.2	-	simulate:508321,simulate:508325,simulate:508323,simulate:508322	1
chr9:92323236|92323503	chr9	92323236	92323503	5	5_3_1	0	1.00	exon	ENSG00000198000.12	-	simulate:509950,simulate:509953,simulate:509948,simulate:509949,simulate:509954	4
chr9:92470669|92474927	chr9	92470669	92474927	9	5_9_0	2	0.90	exon	ENSG00000106819.13	-	simulate:510608,simulate:510606,simulate:510601,simulate:510598,simulate:510599,simulate:510596,simulate:510597,simulate:510594,simulate:510595	5
chr9:92882567|92884000	chr9	92882567	92884000	5	5_5_0	3	0.77	exon	ENSG00000226668.5	+	simulate:479255,simulate:479256,simulate:479259,simulate:479257,simulate:479260	5
chr9:93107674|93109092	chr9	93107674	93109092	7	7_7_0	0	1.00	exon	ENSG00000165233.18	+	simulate:490838,simulate:490839,simulate:490843,simulate:490842,simulate:490836,simulate:490835,simulate:490840	6
chr9:93335876|93346414	chr9	93335876	93346414	2	1_2_0	0	1.00	exon	ENSG00000204352.4	-	simulate:495787,simulate:495785	0
chr9:94085251|94095454	chr9	94085251	94095454	2	2_2_0	9	0.31	exon	ENSG00000158079.16	+	simulate:487247,simulate:487253	2
chr9:95240649|95247516	chr9	95240649	95247516	4	4_3_0	10	0.44	exon	ENSG00000158169.14	-	simulate:489960,simulate:489961,simulate:489954,simulate:489955	3
chr9:97281516|97290902	chr9	97281516	97290902	6	5_0_4	5	0.71	exon	ENSG00000254633.2	+	simulate:478884,simulate:478875,simulate:478885,simulate:478877,simulate:478879,simulate:478878	2
chr9:97516213|97516818	chr9	97516213	97516818	4	3_1_0	9	0.47	exon	ENSG00000228174.7	-	simulate:478099,simulate:478092,simulate:478097,simulate:478096	1
chr9:98060782|98077017	chr9	98060782	98077017	3	3_3_0	2	0.75	exon	ENSG00000095380.11	+	simulate:504214,simulate:504215,simulate:504216	2
chr9:99128855|99144888	chr9	99128855	99144888	7	3_6_0	0	1.00	exon	ENSG00000106799.13	+	simulate:499280,simulate:499279,simulate:499288,simulate:499299,simulate:499278,simulate:499284,simulate:499296	2
chr9:99825659|99833454	chr9	99825659	99833454	3	2_2_0	0	1.00	exon	ENSG00000119508.18	+	simulate:490036,simulate:490047,simulate:490048	1
chr9:100018256|100052532	chr9	100018256	100052532	5	3_5_1	0	1.00	exon	ENSG00000023318.9	-	simulate:475530,simulate:475531,simulate:475534,simulate:475535,simulate:475538	4
chr9:103001578|103003263	chr9	103001578	103003263	5	1_2_3	0	1.00	exon	ENSG00000155833.15	+	simulate:511889,simulate:511888,simulate:511885,simulate:511886,simulate:511891	0
chr9:104111581|104118375	chr9	104111581	104118375	9	6_7_0	0	1.00	exon	ENSG00000136824.19	+	simulate:495916,simulate:495918,simulate:495945,simulate:495912,simulate:495948,simulate:495920,simulate:495953,simulate:495921,simulate:495944	6
chr9:109406462|109422852	chr9	109406462	109422852	8	8_6_0	8	0.67	exon	ENSG00000070159.14	-	simulate:501190,simulate:501191,simulate:501195,simulate:501184,simulate:501197,simulate:501222,simulate:501202,simulate:501219	5
chr9:110250820|110251462	chr9	110250820	110251462	6	4_5_0	6	0.67	exon	ENSG00000136810.13	-	simulate:511878,simulate:511879,simulate:511876,simulate:511877,simulate:511881,simulate:511880	1
chr9:110496815|110513105	chr9	110496815	110513105	7	4_5_0	0	1.00	exon	ENSG00000165124.19	-	simulate:494108,simulate:494109,simulate:494104,simulate:494105,simulate:494116,simulate:494122,simulate:494101	2
chr9:112275844|112297916	chr9	112275844	112297916	3	3_2_0	3	0.67	exon	ENSG00000119314.16	-	simulate:486147,simulate:486148,simulate:486151	2
chr9:112959793|112960962	chr9	112959793	112960962	6	5_4_1	10	0.55	exon	ENSG00000237906.1	-	simulate:482379,simulate:482378,simulate:482385,simulate:482382,simulate:482381,simulate:482380	4
chr9:112972080|112982947	chr9	112972080	112982947	3	3_1_0	0	1.00	exon	ENSG00000228623.7	-	simulate:479787,simulate:479788,simulate:479790	1
chr9:113283132|113284389	chr9	113283132	113284389	5	4_4_0	0	1.00	exon	ENSG00000136875.13	+	simulate:477186,simulate:477185,simulate:477188,simulate:477189,simulate:477184	3
chr9:113413445|113413894	chr9	113413445	113413894	5	3_4_0	0	1.00	exon	ENSG00000157653.12	+	simulate:475198,simulate:475200,simulate:475206,simulate:475207,simulate:475208	2
chr9:114094181|114095332	chr9	114094181	114095332	8	7_5_1	13	0.55	exon	ENSG00000136883.16	-	simulate:510749,simulate:510758,simulate:510748,simulate:510746,simulate:510755,simulate:510752,simulate:510750,simulate:510760	5
chr9:114406355|114425024	chr9	114406355	114425024	6	4_1_4	1	0.92	exon	ENSG00000095397.16	-	simulate:510140,simulate:510119,simulate:510136,simulate:510147,simulate:510134,simulate:510146	5
chr9:115126950|115127910	chr9	115126950	115127910	4	3_2_1	0	1.00	exon	ENSG00000236461.1	-	simulate:510617,simulate:510629,simulate:510626,simulate:510616	2
chr9:116265857|116335074	chr9	116265857	116335074	5	5_1_0	0	1.00	exon	ENSG00000182752.10	+	simulate:479784,simulate:479773,simulate:479782,simulate:479776,simulate:479774	1
chr9:116841429|116842517	chr9	116841429	116842517	3	3_3_0	0	1.00	exon	ENSG00000285820.1	+	simulate:501960,simulate:501961,simulate:501959	3
chr9:120776093|120793257	chr9	120776093	120793257	7	7_3_0	5	0.74	exon	ENSG00000119402.18	-	simulate:499839,simulate:499838,simulate:499835,simulate:499847,simulate:499831,simulate:499832,simulate:499830	3
chr9:120911336|120914300	chr9	120911336	120914300	8	6_3_3	0	1.00	exon	ENSG00000056558.11	-	simulate:501250,simulate:501230,simulate:501232,simulate:501244,simulate:501224,simulate:501246,simulate:501237,simulate:501248	4
chr9:122214283|122227030	chr9	122214283	122227030	3	3_2_0	8	0.43	exon	ENSG00000106852.16	-	simulate:506790,simulate:506794,simulate:506776	2
chr9:122378433|122381747	chr9	122378433	122381747	8	8_4_1	0	1.00	exon	ENSG00000095303.17	+	simulate:507411,simulate:507421,simulate:507414,simulate:507424,simulate:507409,simulate:507408,simulate:507418,simulate:507428	5
chr9:123128214|123132968	chr9	123128214	123132968	5	0_4_2	1	0.91	exon	ENSG00000165209.19	-	simulate:478798,simulate:478799,simulate:478802,simulate:478801,simulate:478803	1
chr9:123365917|123367686	chr9	123365917	123367686	6	5_6_0	13	0.48	exon	ENSG00000148204.12	+	simulate:485139,simulate:485136,simulate:485144,simulate:485134,simulate:485142,simulate:485150	5
chr9:124013961|124015525	chr9	124013961	124015525	3	3_2_0	9	0.40	exon	ENSG00000106689.11	+	simulate:474709,simulate:474702,simulate:474695	1
chr9:124312509|124313985	chr9	124312509	124313985	2	2_1_1	24	0.14	exon	ENSG00000119408.17	+	simulate:480448,simulate:480449	2
chr9:124786975|124799491	chr9	124786975	124799491	2	1_2_0	13	0.24	exon	ENSG00000185585.20	+	simulate:493618,simulate:493621	1
chr9:124855861|124856600	chr9	124855861	124856600	5	4_5_0	8	0.56	exon	ENSG00000136918.8	+	simulate:483177,simulate:483179,simulate:483174,simulate:483173,simulate:483176	4
chr9:126962225|126965951	chr9	126962225	126965951	7	3_7_0	7	0.67	exon	ENSG00000136828.19	+	simulate:484499,simulate:484500,simulate:484497,simulate:484498,simulate:484495,simulate:484496,simulate:484494	2
chr9:127473801|127481227	chr9	127473801	127481227	5	5_1_2	1	0.91	exon	ENSG00000148356.15	+	simulate:513967,simulate:513966,simulate:513976,simulate:513973,simulate:513971	3
chr9:128323016|128332282	chr9	128323016	128332282	5	4_4_0	0	1.00	exon	ENSG00000167113.11	+	simulate:480543,simulate:480539,simulate:480535,simulate:480536,simulate:480537	3
chr9:128828735|128829155	chr9	128828735	128829155	3	2_0_2	15	0.29	exon	ENSG00000286112.1	-	simulate:482876,simulate:482881,simulate:482877	1
chr9:128842654|128845411	chr9	128842654	128845411	9	7_3_3	8	0.69	exon	ENSG00000171097.14	-	simulate:481410,simulate:481411,simulate:481412,simulate:481413,simulate:481407,simulate:481409,simulate:481414,simulate:481405,simulate:481406	4
chr9:128949189|128952846	chr9	128949189	128952846	2	1_2_0	0	1.00	exon	ENSG00000095319.14	+	simulate:513237,simulate:513236	1
chr9:129338792|129342043	chr9	129338792	129342043	7	7_6_0	0	1.00	exon	ENSG00000233901.7	+	simulate:476580,simulate:476572,simulate:476585,simulate:476586,simulate:476587,simulate:476576,simulate:476578	5
chr9:129639402|129640722	chr9	129639402	129640722	2	2_2_0	4	0.50	exon	ENSG00000148331.12	-	simulate:488203,simulate:488197	2
chr9:130666608|130668313	chr9	130666608	130668313	2	1_2_0	7	0.36	exon	ENSG00000130711.5	+	simulate:488119,simulate:488115	1
chr9:131135940|131147584	chr9	131135940	131147584	9	4_7_3	0	1.00	exon	ENSG00000126883.19	+	simulate:489052,simulate:489030,simulate:489053,simulate:489042,simulate:489031,simulate:489045,simulate:489047,simulate:489058,simulate:489039	5
chr9:131436620|131439061	chr9	131436620	131439061	6	3_2_3	0	1.00	exon	ENSG00000288841.1	+	simulate:495886,simulate:495887,simulate:495888,simulate:495889,simulate:495884,simulate:495885	2
chr9:132269615|132271808	chr9	132269615	132271808	7	6_7_0	2	0.88	exon	ENSG00000107290.14	-	simulate:502581,simulate:502583,simulate:502582,simulate:502585,simulate:502584,simulate:502587,simulate:502586	5
chr9:134880812|134885897	chr9	134880812	134885897	5	4_4_0	8	0.56	exon	ENSG00000160339.16	+	simulate:505990,simulate:505986,simulate:505983,simulate:505987,simulate:505988	3
chr9:135588593|135589484	chr9	135588593	135589484	6	6_5_0	4	0.75	exon	ENSG00000224045.1	+	simulate:488589,simulate:488588,simulate:488587,simulate:488597,simulate:488596,simulate:488590	4
chr9:135631431|135639193	chr9	135631431	135639193	6	3_6_1	0	1.00	exon	ENSG00000204007.8	-	simulate:483126,simulate:483123,simulate:483122,simulate:483125,simulate:483124,simulate:483121	4
chr9:135697506|135699126	chr9	135697506	135699126	7	4_6_1	5	0.74	exon	ENSG00000165643.11	-	simulate:507248,simulate:507250,simulate:507242,simulate:507252,simulate:507247,simulate:507245,simulate:507244	5
chr9:135768610|135772949	chr9	135768610	135772949	10	4_7_5	0	1.00	exon	ENSG00000107147.14	+	simulate:474081,simulate:474091,simulate:474090,simulate:474058,simulate:474076,simulate:474075,simulate:474086,simulate:474074,simulate:474084,simulate:474072	7
chr9:135945889|135946371	chr9	135945889	135946371	5	4_4_0	0	1.00	exon	ENSG00000130560.9	-	simulate:487669,simulate:487666,simulate:487665,simulate:487672,simulate:487670	3
chr9:136016265|136050580	chr9	136016265	136050580	4	3_3_0	8	0.50	exon	ENSG00000148411.8	-	simulate:484144,simulate:484130,simulate:484172,simulate:484173	2
chr9:136418017|136418673	chr9	136418017	136418673	3	2_3_0	0	1.00	exon	ENSG00000165688.12	+	simulate:514372,simulate:514373,simulate:514375	2
chr9:136447853|136448161	chr9	136447853	136448161	7	3_3_3	0	1.00	exon	ENSG00000148396.19	-	simulate:503351,simulate:503350,simulate:503353,simulate:503352,simulate:503348,simulate:503347,simulate:503349	3
chr9:136742787|136745280	chr9	136742787	136745280	7	5_6_0	16	0.47	exon	ENSG00000204003.8	-	simulate:475294,simulate:475311,simulate:475300,simulate:475302,simulate:475304,simulate:475308,simulate:475309	4
chr9:136806050|136807202	chr9	136806050	136807202	3	1_2_1	0	1.00	exon	ENSG00000228544.1	-	simulate:512038,simulate:512035,simulate:512034	1
chr9:136806078|136806867	chr9	136806078	136806867	11	10_8_0	19	0.54	exon	ENSG00000273066.5	+	simulate:497280,simulate:497268,simulate:497279,simulate:497265,simulate:497264,simulate:497275,simulate:497267,simulate:497261,simulate:497272,simulate:497260,simulate:497263	6
chr9:136831721|136835845	chr9	136831721	136835845	10	9_4_0	9	0.69	exon	ENSG00000196642.19	+	simulate:488801,simulate:488800,simulate:488799,simulate:488788,simulate:488787,simulate:488796,simulate:488794,simulate:488793,simulate:488792,simulate:488791	4
chr9:136889670|136890542	chr9	136889670	136890542	5	2_4_1	4	0.71	exon	ENSG00000127191.18	+	simulate:490484,simulate:490492,simulate:490488,simulate:490485,simulate:490491	2
chr9:136945634|136946566	chr9	136945634	136946566	5	3_4_0	1	0.91	exon	ENSG00000176919.13	+	simulate:501840,simulate:501843,simulate:501833,simulate:501837,simulate:501839	2
chr9:136979946|136980855	chr9	136979946	136980855	4	4_0_4	0	1.00	exon	ENSG00000284341.1	+	simulate:495882,simulate:495883,simulate:495880,simulate:495881	3
chr9:137040671|137041187	chr9	137040671	137041187	2	1_1_1	1	0.80	exon	ENSG00000107281.10	-	simulate:482885,simulate:482886	1
chr9:137263037|137266426	chr9	137263037	137266426	5	5_2_0	26	0.28	exon	ENSG00000188986.9	+	simulate:487921,simulate:487930,simulate:487917,simulate:487928,simulate:487927	2
chr9:137351318|137352786	chr9	137351318	137352786	3	3_1_0	0	1.00	exon	ENSG00000187609.16	-	simulate:508332,simulate:508335,simulate:508334	1
