circRNA_ID	Case1	Case2	Control1	Control2
chr9:129338792|129342043	7	0	0	0
chr9:136016265|136050580	4	2	0	5
chr9:35660401|35660647	0	2	0	0
chr9:109050570|109064567	0	0	6	0
chr9:130666608|130668313	2	0	0	5
chr9:38456118|38462233	5	0	0	0
chr9:66182326|66184776	11	0	0	0
chr9:3546778|3568889	0	3	0	0
chr9:87727594|87728809	0	3	0	0
chr9:23701379|23705071	0	0	0	5
chr9:133065040|133066945	0	0	7	0
chr9:34623864|34628086	0	0	2	0
chr9:99828041|99833454	0	0	0	9
chr9:121354601|121356156	0	0	4	0
chr9:130697582|130700935	0	5	0	0
chr9:133540878|133554693	0	0	0	8
chr9:81974082|81976806	9	0	0	0
chr9:15778968|15784694	0	4	0	0
chr9:90864589|90874291	6	0	0	0
chr9:125003114|125003690	0	0	6	0
chr9:81616646|81620557	4	0	0	0
chr9:105705597|105721721	0	0	7	0
chr9:92882567|92884000	5	0	9	5
chr9:137430784|137433864	0	0	7	0
chr9:82277049|82297540	0	7	0	0
chr9:136979223|136980855	0	0	7	3
chr9:130466725|130476961	0	0	7	0
chr9:132283264|132288651	0	7	0	0
chr9:32485175|32489451	0	0	9	0
chr9:94567270|94587469	0	0	10	0
chr9:85621202|85646418	3	0	0	0
chr9:19334977|19341114	7	0	0	0
chr9:129040452|129042514	0	7	0	0
chr9:128099275|128101222	0	0	0	8
chr9:128323016|128332282	5	0	0	0
chr9:36197551|36199096	1	0	1	0
chr9:136978993|136980284	0	7	0	0
chr9:135561758|135565514	0	0	6	0
chr9:35611804|35618121	0	0	6	0
chr9:14997164|15007882	0	5	0	0
chr9:84702348|84727959	0	2	0	0
chr9:136432479|136434134	0	0	0	7
chr9:85175476|85182840	4	0	0	0
chr9:90507258|90508941	0	0	5	0
chr9:73154198|73158601	0	0	0	2
chr9:69227765|69230232	0	0	6	0
chr9:123365917|123367686	6	0	0	0
chr9:109243618|109255680	0	0	0	4
chr9:132648189|132651116	0	0	0	6
chr9:69375736|69383759	0	0	5	0
chr9:133104263|133108406	0	0	0	3
chr9:98371464|98406141	0	0	2	0
chr9:128789874|128791693	0	0	6	0
chr9:35076724|35078736	0	6	0	0
chr9:132651075|132659780	0	5	0	0
chr9:94498056|94502641	0	0	4	0
chr9:126690836|126693323	0	0	0	8
chr9:35556308|35558567	0	8	0	0
chr9:128832291|128835667	0	3	3	0
chr9:111527268|111530963	2	0	0	3
chr9:120776093|120793257	7	0	0	0
chr9:128949189|128952846	2	3	2	0
chr9:137040671|137041187	2	7	0	0
chr9:33057598|33068934	4	3	0	0
chr9:132269615|132271808	7	0	0	0
chr9:86046470|86052591	0	6	0	2
chr9:96774788|96776245	0	0	0	2
chr9:37832063|37956054	0	6	0	0
chr9:75127569|75133401	2	0	1	0
chr9:33218365|33221108	3	1	0	0
chr9:117778090|117784493	0	6	0	0
chr9:136831721|136835845	10	0	0	0
chr9:112405624|112418958	0	0	0	2
chr9:89334522|89347048	0	0	6	0
chr9:69046385|69053260	0	4	2	0
chr9:94928425|94967801	0	0	0	6
chr9:103001578|103003263	5	4	0	0
chr9:111748092|111781017	0	2	0	0
chr9:16431403|16435099	0	4	0	0
chr9:128632127|128632484	0	3	0	0
chr9:137161289|137162739	0	0	0	7
chr9:114671383|114671827	0	0	0	7
chr9:72927116|72931019	4	0	0	0
chr9:96465337|96465778	0	0	3	0
chr9:133544470|133555930	0	0	7	0
chr9:96097352|96100051	0	6	0	0
chr9:104132009|104136060	0	0	0	5
chr9:2643837|2645745	0	0	0	6
chr9:128722009|128722574	0	0	0	3
chr9:117708563|117848155	0	0	0	3
chr9:137612896|137613769	0	0	0	4
chr9:23829670|23831598	0	3	0	4
chr9:134782667|134796901	0	3	0	0
chr9:15444602|15453205	0	0	0	6
chr9:133540878|133561295	0	6	0	0
chr9:122378433|122381747	8	0	0	0
chr9:112972080|112982947	3	0	0	0
chr9:33508359|33510711	0	0	7	0
chr9:92470669|92474927	9	0	4	0
chr9:5431897|5436694	0	0	2	4
chr9:136849111|136850137	0	0	6	0
chr9:125323798|125341264	0	0	11	0
chr9:93069100|93075972	0	0	0	4
chr9:94572979|94577793	0	4	0	0
chr9:137050284|137051370	0	0	5	0
chr9:68742501|68822683	0	0	0	2
chr9:96246556|96252910	0	0	0	4
chr9:127318063|127333121	0	0	8	0
chr9:846960|894195	0	4	5	0
chr9:113413445|113413894	5	6	0	0
chr9:38437689|38462233	0	0	0	4
chr9:136742787|136745280	7	0	0	0
chr9:37327799|37349452	0	2	0	0
chr9:88426382|88448989	0	0	8	0
chr9:97314618|97318582	0	8	0	0
chr9:86981770|86987615	0	2	0	0
chr9:107302035|107318879	0	0	5	0
chr9:110329232|110334320	0	1	6	0
chr9:99825659|99833454	3	0	0	0
chr9:136889670|136890542	5	0	0	0
chr9:36147786|36148650	2	0	1	1
chr9:85976685|86007464	0	2	0	0
chr9:127473801|127481227	5	0	0	0
chr9:114032645|114036377	0	0	0	6
chr9:34647492|34647961	0	4	0	0
chr9:63055923|63057637	0	6	0	4
chr9:16215772|16400547	0	5	0	0
chr9:114406355|114425024	6	0	0	0
chr9:83299112|83311975	0	0	3	1
chr9:110250820|110251462	6	0	2	0
chr9:83311887|83343287	4	0	0	0
chr9:117648596|117650977	0	0	0	5
chr9:33886881|33900271	5	1	6	3
chr9:3671474|3674648	0	0	3	0
chr9:4836726|4841357	0	3	0	0
chr9:125203008|125220397	0	0	0	7
chr9:124312509|124313985	2	0	0	0
chr9:136791947|136792358	0	0	0	3
chr9:137430784|137433074	0	0	0	4
chr9:113198855|113203035	0	0	0	3
chr9:97516213|97516818	4	0	9	0
chr9:137078502|137079449	0	3	0	0
chr9:106588380|106589013	0	0	0	3
chr9:96298416|96321341	0	0	0	3
chr9:129084668|129085616	0	8	0	0
chr9:99128855|99144888	7	0	0	0
chr9:114668206|114671827	0	0	6	0
chr9:127428832|127435216	0	5	0	0
chr9:24544972|24545286	0	0	1	4
chr9:136945634|136946566	5	0	0	0
chr9:104111581|104118375	9	3	0	0
chr9:3271003|3293258	0	0	0	6
chr9:97281516|97290902	6	0	0	6
chr9:113282646|113286828	0	0	6	0
chr9:131619051|131621998	0	0	2	0
chr9:15846702|15848947	3	0	0	0
chr9:33798368|33799913	0	0	0	2
chr9:89698033|89700357	0	0	0	4
chr9:132661208|132670401	0	0	5	0
chr9:104132009|104134575	0	0	7	0
chr9:137251738|137252135	0	6	0	0
chr9:5810011|5813035	0	0	0	3
chr9:36063795|36117177	0	2	0	0
chr9:133105932|133109721	0	7	0	4
chr9:85958472|85975033	0	0	2	0
chr9:137436521|137438084	0	2	0	0
chr9:2943565|3013028	0	0	2	0
chr9:92135461|92136537	10	0	0	6
chr9:69043461|69046482	0	0	0	3
chr9:38458368|38469965	0	6	0	0
chr9:16552530|16727997	0	0	0	7
chr9:134045293|134051709	0	0	9	0
chr9:136800389|136804816	0	3	0	0
chr9:135500570|135501123	0	0	8	0
chr9:137051510|137052348	0	0	0	5
chr9:129084668|129085306	0	0	0	6
chr9:74998598|75017448	0	6	0	0
chr9:128715172|128716923	0	5	0	0
chr9:36607575|36643083	0	4	0	0
chr9:128842654|128845411	9	0	0	0
chr9:131052850|131069050	0	2	0	0
chr9:100326302|100330169	0	0	6	3
chr9:92634386|92635246	0	6	4	2
chr9:97805840|97810039	0	7	2	0
chr9:110973481|111036201	0	6	1	0
chr9:124855861|124856600	5	0	0	0
chr9:122378433|122381552	0	8	0	0
chr9:98210656|98229148	0	0	0	3
chr9:15423909|15433636	0	0	4	0
chr9:127336128|127345477	0	4	0	0
chr9:113354240|113360737	0	0	7	5
chr9:136863288|136863871	0	0	6	0
chr9:127872690|127874649	0	2	0	0
chr9:40758255|40763752	0	7	0	0
chr9:127817759|127818389	0	0	7	4
chr9:101399028|101399530	0	0	5	0
chr9:465962|467219	0	7	0	0
chr9:128828735|128828877	0	5	0	0
chr9:113256114|113257185	0	5	4	0
chr9:23831438|23831598	2	0	0	0
chr9:35744615|35748973	0	9	0	0
chr9:133520174|133528612	0	6	0	8
chr9:32487471|32489451	0	9	0	0
chr9:35658576|35660461	2	0	1	0
chr9:32481340|32489451	0	0	10	0
chr9:109406462|109422852	8	0	0	0
chr9:107306379|107318879	0	10	0	0
chr9:87970776|87974074	0	0	0	11
chr9:136806050|136807202	3	0	0	0
chr9:122576766|122578445	0	2	6	0
chr9:104884427|104889195	0	5	3	0
chr9:93335876|93346414	2	5	0	0
chr9:79138523|79143231	0	0	7	0
chr9:136800389|136805457	0	4	0	0
chr9:97323781|97347666	0	0	5	0
chr9:35606237|35607672	0	0	2	0
chr9:129060550|129061346	0	0	0	3
chr9:2644734|2646552	3	0	0	0
chr9:112804776|112838697	0	0	7	0
chr9:69046385|69065035	0	0	6	0
chr9:69371499|69383759	9	0	0	0
chr9:89664928|89673487	0	5	0	0
chr9:135631431|135639193	6	3	4	0
chr9:88737657|88737877	0	5	0	3
chr9:35106252|35106891	0	0	0	3
chr9:137263037|137266426	5	0	1	0
chr9:124013961|124015525	3	0	0	5
chr9:34972411|34977641	0	5	0	0
chr9:82281582|82428293	0	0	0	3
chr9:4719135|4722625	0	4	0	0
chr9:129639402|129640722	2	4	0	0
chr9:128472913|128484886	0	6	0	0
chr9:135605215|135615498	0	0	5	0
chr9:110496815|110513105	7	0	0	0
chr9:35733396|35735215	0	3	0	2
chr9:37522825|37537943	0	0	0	8
chr9:138043774|138058250	0	0	7	0
chr9:97610346|97625997	0	0	0	7
chr9:94558720|94587469	0	5	0	0
chr9:103264524|103315281	0	3	0	0
chr9:120911336|120914300	8	3	0	0
chr9:126962225|126965951	7	0	0	0
chr9:71918425|71947112	0	0	0	3
chr9:94606815|94620491	0	5	0	0
chr9:26997728|26999703	0	0	5	5
chr9:69844517|69856673	0	0	0	6
chr9:34648998|34656908	6	0	0	0
chr9:135616587|135617016	0	0	0	2
chr9:84670377|84707912	0	0	3	0
chr9:34657303|34659900	0	7	0	0
chr9:69732139|69734254	0	0	0	2
chr9:34096716|34098517	0	0	7	0
chr9:123128214|123132968	5	0	0	0
chr9:122270864|122285287	0	0	6	0
chr9:136418017|136418673	3	0	0	0
chr9:125543059|125657799	0	9	2	0
chr9:135694387|135695263	0	0	8	0
chr9:133671535|133694371	0	4	0	0
chr9:34656739|34657587	6	0	0	0
chr9:136199678|136200753	1	6	0	0
chr9:128190329|128190862	0	0	5	0
chr9:121318406|121324644	0	3	0	0
chr9:35841526|35846068	0	4	0	0
chr9:127824304|127825860	0	2	0	0
chr9:92856192|92875059	0	0	1	2
chr9:82277049|82349848	6	0	0	0
chr9:125158241|125171180	1	3	0	0
chr9:35724830|35725321	2	0	0	0
chr9:120914235|120926301	0	0	0	6
chr9:133702916|133731484	0	0	8	0
chr9:131487856|131491580	0	6	0	0
chr9:134880812|134885897	5	0	0	0
chr9:96351103|96364550	0	9	0	1
chr9:22213677|22214672	0	0	4	0
chr9:72056784|72059384	0	0	4	0
chr9:37489315|37495276	0	0	6	0
chr9:136995442|136995757	0	0	0	2
chr9:130695492|130697627	0	0	5	0
chr9:38413237|38414203	0	0	4	0
chr9:129613107|129620743	0	0	0	3
chr9:135945889|135953753	0	0	10	0
chr9:114343708|114346009	0	0	10	0
chr9:34380897|34381444	5	0	0	0
chr9:120824494|120831945	0	0	2	0
chr9:113322811|113331116	0	1	0	6
chr9:75069742|75077580	7	0	0	0
chr9:20363476|20448266	0	0	0	11
chr9:134408149|134421805	0	0	0	2
chr9:97936171|97938191	0	5	0	0
chr9:122280443|122286166	0	0	0	8
chr9:92188518|92189635	4	0	10	0
chr9:88072732|88073036	4	0	0	0
chr9:127720078|127724364	0	0	8	0
chr9:135697506|135699126	7	0	0	0
chr9:114359594|114361911	0	0	0	14
chr9:38571122|38575698	0	9	0	0
chr9:94199198|94223308	0	0	3	0
chr9:136979946|136980855	4	0	0	0
chr9:3270371|3288250	0	13	0	0
chr9:136405118|136405978	0	4	0	0
chr9:125153906|125160906	0	0	0	5
chr9:37842089|37857351	0	5	0	0
chr9:69225304|69226175	0	5	0	0
chr9:113283132|113284389	5	0	0	0
chr9:37974622|38016131	0	0	0	2
chr9:124538092|124554570	0	0	9	0
chr9:128828735|128829155	3	0	0	0
chr9:124786975|124799491	2	2	0	0
chr9:19573351|19619692	0	4	0	11
chr9:135577350|135577774	0	0	0	5
chr9:69218257|69228114	4	0	0	0
chr9:124543802|124554570	0	0	0	6
chr9:35750658|35751754	0	0	8	0
chr9:114323663|114330862	0	1	0	1
chr9:128428302|128428833	0	2	0	0
chr9:136369750|136371145	0	6	0	0
chr9:43111266|43119686	7	0	0	2
chr9:97325019|97347666	0	0	0	8
chr9:96458379|96484633	0	0	0	5
chr9:34487946|34490124	0	0	2	0
chr9:94606815|94617860	0	0	11	0
chr9:33245112|33246728	0	0	0	3
chr9:62867697|62869304	0	0	0	6
chr9:36353170|36376127	0	5	0	0
chr9:19423862|19424841	0	7	0	3
chr9:100018256|100052532	5	0	0	9
chr9:92323236|92323503	5	0	0	0
chr9:92509899|92522893	0	0	0	2
chr9:137039971|137040436	0	0	6	0
chr9:125203008|125213522	0	6	5	0
chr9:127399907|127403803	0	0	0	5
chr9:86950867|86987615	0	0	6	5
chr9:72305436|72315090	3	0	0	6
chr9:35810247|35811057	4	0	0	0
chr9:26092361|26110139	9	0	2	0
chr9:108899822|108903669	0	5	0	0
chr9:15187971|15203890	0	0	11	0
chr9:83669185|83680037	4	0	0	0
chr9:136806078|136806867	11	0	0	0
chr9:135768610|135772949	10	0	0	0
chr9:105604215|105620061	0	0	5	0
chr9:87727594|87728396	6	0	0	0
chr9:136855254|136857041	0	2	0	0
chr9:113421103|113424316	0	0	3	0
chr9:137436869|137438305	0	0	4	0
chr9:83887041|83888592	0	0	5	0
chr9:136337441|136339815	0	4	0	0
chr9:92337541|92379859	0	0	0	10
chr9:93107674|93110721	0	0	4	0
chr9:115126950|115127910	4	0	2	0
chr9:106558472|106588940	0	7	0	0
chr9:119242047|119313405	0	8	0	0
chr9:124301936|124321569	0	0	8	0
chr9:72930879|72940252	0	0	0	4
chr9:136447853|136448161	7	0	0	0
chr9:114905828|114918138	0	0	0	3
chr9:127714379|127715194	0	0	0	6
chr9:137540642|137543815	0	0	6	0
chr9:87498970|87605175	0	0	9	0
chr9:84707844|84724356	6	0	0	0
chr9:117650852|117652447	1	4	3	0
chr9:132390597|132398326	0	0	6	5
chr9:7930282|7960662	2	0	0	0
chr9:127806973|127807286	0	0	0	4
chr9:128835997|128838137	0	2	0	0
chr9:93476256|93498886	0	0	0	3
chr9:6497049|6497268	0	4	0	0
chr9:92323441|92324209	0	0	0	2
chr9:136367637|136370701	0	0	10	0
chr9:135697506|135698476	0	5	0	0
chr9:137232575|137233404	0	0	4	0
chr9:34381369|34385781	0	0	8	0
chr9:11640733|11784659	3	0	2	0
chr9:137213967|137215018	0	5	0	0
chr9:136744640|136745280	0	0	7	0
chr9:35562875|35563389	0	0	2	0
chr9:123139529|123160462	0	4	0	0
chr9:35562875|35563356	3	0	0	0
chr9:89672757|89673487	0	0	2	0
chr9:112959793|112961814	0	0	6	0
chr9:126381064|126386658	0	0	2	0
chr9:15433552|15451402	9	2	0	0
chr9:27558491|27562476	0	0	0	6
chr9:26747510|26748312	5	5	0	0
chr9:94085251|94095454	2	1	0	6
chr9:104750956|104753064	0	0	4	0
chr9:32481340|32488887	3	0	0	0
chr9:36058827|36065624	4	0	0	1
chr9:37522825|37532058	7	0	10	0
chr9:34241185|34242108	0	0	0	4
chr9:83883813|83891501	6	0	0	0
chr9:131135940|131147584	9	0	0	0
chr9:17761437|17789550	0	0	5	0
chr9:127749211|127762416	0	0	0	7
chr9:32420856|32427436	0	0	5	0
chr9:112275844|112297916	3	0	0	0
chr9:137754171|137778055	0	0	5	0
chr9:136365141|136366845	0	0	5	0
chr9:125777982|125929845	0	6	0	0
chr9:35813445|35813784	0	7	0	4
chr9:103004969|103006378	0	0	0	5
chr9:131126412|131127719	0	0	6	0
chr9:8936079|8958848	0	0	3	0
chr9:131436620|131439061	6	0	0	5
chr9:116265857|116335074	5	0	0	0
chr9:97648008|97656085	0	0	4	0
chr9:94605457|94610061	0	0	0	9
chr9:34647089|34647705	0	0	0	5
chr9:95240649|95247516	4	0	0	0
chr9:35835288|35841267	0	0	0	3
