circRNA_ID	Case1	Case2	Control1	Control2
chr17:28715641|28716994	0	8	0	0
chr1:204117122|204117707	0	0	0	4
chr12:54284258|54284601	0	4	0	0
chr6:79493613|79519085	0	0	0	11
chr19:41683785|41687221	0	0	0	6
chr9:76189631|76292275	3	0	0	0
chr19:19529364|19532740	0	0	8	0
chr9:93261814|93268065	0	0	2	0
chr2:74226957|74227878	0	0	0	3
chr12:32707367|32713371	0	3	0	0
chr17:79092380|79097424	6	0	0	0
chr2:111123733|111124139	0	0	0	6
chr7:20647968|20685836	0	0	4	0
chr1:110222964|110226178	0	5	0	0
chr7:115031787|115118825	0	0	4	3
chr4:1991544|2008046	0	0	0	7
chr3:47572686|47577928	0	0	0	6
chr6:149968607|149969360	0	8	0	3
chr3:102456193|102464251	0	9	0	0
chr5:140642315|140643041	0	4	0	0
chr1:3756733|3763474	0	0	1	10
chr10:75350352|75358346	0	0	0	7
chr6:49698362|49709205	3	0	0	0
chr5:180947512|181004443	5	0	0	0
chr18:31626999|31645479	0	0	0	4
chr11:34888752|34890552	0	0	4	0
chr2:30889034|30889698	0	7	0	8
chr22:29642202|29665064	0	6	0	0
chr11:119098403|119100408	0	8	0	0
chr4:84969725|85004327	0	0	4	0
chr17:8111359|8114609	0	0	9	0
chr12:57231713|57233662	0	0	0	6
chr5:113534305|113542503	0	2	0	0
chr3:132328267|132332344	0	0	0	6
chrX:71147550|71164328	9	5	0	0
chr14:72975551|72978969	0	7	0	0
chr9:136952892|136953779	0	0	0	5
chr7:148810333|148811720	0	4	0	0
chr19:13145288|13149091	0	0	4	6
chr19:45025329|45032749	0	0	3	0
chr1:29223933|29224611	10	0	5	3
chr8:60572046|60584815	0	0	3	0
chr12:97493875|97530859	0	0	0	4
chr3:170381244|170390464	6	0	0	0
chr1:45613169|45614181	0	0	5	0
chr9:128927038|128937778	0	0	0	4
chr5:90823425|90985522	0	2	0	0
chr1:45038936|45051253	0	12	0	0
chr18:50806704|50819702	8	0	0	0
chr21:14902899|14913522	0	0	5	0
chr1:46934176|46935647	4	6	0	0
chr9:132498695|132499600	0	0	5	9
chr3:42713162|42732922	2	0	0	0
chr15:43368923|43369676	0	0	6	0
chr4:106328076|106331883	8	0	0	0
chr8:66793616|66798625	0	4	0	0
chr2:57294636|57298489	7	0	0	0
chr4:75830501|75837432	0	10	0	0
chr20:21197540|21214022	0	2	0	0
chrX:154508289|154511871	0	6	0	0
chr3:57235566|57237551	0	3	0	0
chr11:121614871|121618893	0	6	0	0
chr6:53621209|53624714	0	0	5	0
chr5:91244820|91313777	0	4	0	0
chr13:97954103|97969830	0	0	0	5
chr17:7220604|7221682	0	0	0	6
chr5:109770355|109789527	0	0	0	7
chr21:41476577|41488513	6	0	0	0
chr16:10757873|10761474	6	0	0	0
chr20:32074623|32084043	0	0	9	0
chr9:5805611|5812217	0	0	12	0
chr10:5000550|5001681	4	0	0	0
chr19:49580646|49583304	0	2	0	0
chr6:111567624|111580389	0	0	6	0
chr9:119248960|119313405	0	0	11	0
chr17:46929520|46935225	10	0	0	0
chr1:248698847|248745279	0	0	0	5
chr20:5434172|5437273	0	4	0	0
chr15:48867818|48872142	5	0	0	0
chr19:11359532|11362689	1	1	0	0
chr1:7801113|7810021	4	0	0	0
chr10:84143995|84148838	0	4	0	0
chr12:53159887|53171988	5	0	0	0
chr6:159684854|159692863	6	0	0	0
chr17:2477686|2502331	5	0	0	0
chr1:205662833|205664886	0	0	2	0
chr12:81375733|81440046	0	7	0	0
chr5:151676132|151679299	0	3	0	0
chr10:119157871|119160969	0	0	0	5
chr17:35749110|35750318	6	0	0	0
chr4:186076613|186079031	6	0	0	0
chr6:43650375|43655691	1	3	0	0
chr13:79415111|79420815	8	0	0	0
chr6:166326132|166328357	0	0	0	3
chrX:7921713|7926132	0	0	0	9
chr3:107853873|107873026	0	0	4	0
chr9:83628007|83628959	0	2	2	3
chr9:23540579|23602784	0	6	0	0
chr19:9658009|9660874	0	0	4	0
chrX:153720872|153723288	0	0	0	3
chr17:75737322|75740851	10	0	0	9
chr17:63355055|63379826	8	0	4	0
chr7:156826605|156833792	0	0	0	2
chr12:56096748|56100245	0	12	0	0
chr2:98377687|98380354	0	3	0	6
chr11:130411417|130417075	5	0	0	0
chr12:10073293|10081413	0	0	6	0
chr10:61428926|61431332	0	0	0	4
chr7:158664184|158664750	0	0	5	0
chr16:5027278|5029008	5	0	0	0
chr12:57730495|57732512	0	0	5	0
chr19:12528570|12550652	0	4	3	0
chr8:123022684|123023739	0	0	3	0
chr19:55320558|55321044	0	0	3	0
chr16:67538424|67539751	0	0	2	0
chr1:46653817|46663923	3	0	0	0
chr2:201822809|201835763	7	0	0	0
chr20:45555701|45562219	0	0	9	0
chr12:20705949|20722049	0	7	0	0
chr7:134537580|134538277	0	3	0	0
chr11:118373086|118381523	0	3	0	0
chr9:98060782|98077017	3	0	0	0
chr21:33602234|33616750	0	0	10	0
chr2:227259178|227268769	16	0	0	0
chr6:33799105|33801170	4	0	0	0
chr16:88485939|88489153	5	0	0	0
chr2:71564058|71589686	2	0	0	0
chr8:38267267|38268407	0	2	0	0
chr17:32294294|32298204	2	0	0	0
chr12:32750719|32754085	0	2	2	3
chr16:20592556|20599716	11	0	0	0
chr15:34163560|34166115	0	0	0	4
chr17:41987819|41994944	0	0	8	0
chr3:15574977|15586602	8	0	0	0
chr10:27735221|27741504	3	0	0	9
chr16:1350807|1351598	0	0	2	0
chr2:227698736|227702320	10	0	0	0
chr4:152147204|152148126	0	0	4	7
chr4:67924128|67944637	6	0	0	0
chr2:160138065|160172730	0	0	10	0
chrX:132085581|132097344	3	0	2	0
chr3:17508474|17622765	0	0	3	0
chr1:92242212|92244385	0	0	6	4
chr10:86460399|86471103	0	0	3	0
chr10:133274159|133274990	2	0	0	0
chr10:119797461|119808060	3	0	0	0
chr11:60790974|60792321	0	0	2	0
chr1:75786700|75790057	9	0	0	0
chr1:48451552|48453131	0	0	0	4
chr10:42425318|42451683	0	0	0	4
chr12:55937978|55938560	0	0	0	2
chr19:35642434|35642698	4	0	0	0
chr2:98571897|98572927	0	0	0	3
chr22:18079874|18083732	0	0	0	5
chr17:30844835|30858323	0	2	6	0
chr5:41794677|41805681	3	0	0	0
chr2:47948384|48003425	0	0	0	5
chr11:291976|293235	0	0	9	0
chr1:120251414|120256754	1	5	3	0
chr1:9244925|9247083	0	3	0	0
chr2:24082885|24084331	0	7	0	0
chr12:57524953|57527660	0	0	2	0
chr3:100296172|100304888	4	0	0	0
chr4:950421|952450	0	1	5	0
chr1:77161295|77161711	0	0	5	0
chr18:26281971|26293531	0	0	0	2
chr1:240768152|240771183	0	0	0	7
chr13:45377061|45383169	5	0	0	0
chr11:2135367|2140299	0	0	4	0
chr3:35681714|35682889	0	0	8	0
chr4:99204357|99253132	0	0	0	10
chr8:74825182|74844099	0	0	9	0
chr10:97424799|97425739	2	0	0	0
chr2:235908738|235930923	0	0	0	11
chr3:139423016|139577850	0	0	0	6
chr2:219179733|219181205	0	5	0	0
chr17:62238009|62241636	8	10	0	0
chr1:53304997|53305424	0	2	0	2
chr10:133398435|133399226	0	0	5	0
chr11:408695|410027	0	3	0	0
chr7:103661376|103728207	0	0	5	0
chr9:116841429|116842517	3	0	0	5
chr7:128844658|128848068	0	2	0	0
chrX:27394980|27398837	2	0	0	3
chr22:30529289|30532856	4	0	0	0
chr13:72737962|72745207	0	0	0	2
chr2:133213716|133303110	0	0	4	0
chr7:81982567|81994939	6	0	0	0
chr4:1841347|1849209	0	0	0	5
chr11:66333527|66335251	7	0	0	0
chr2:127059011|127062197	0	0	0	2
chrX:118741017|118747092	5	0	0	0
chr1:53827999|53832591	1	0	2	0
chr7:139165132|139169352	0	0	5	0
chr9:127709422|127712349	0	0	4	0
chr9:75016268|75017448	4	0	0	0
chr3:51674271|51684634	6	5	0	0
chr2:233767034|233767936	10	15	12	6
chr20:51435706|51475660	11	0	0	0
chr12:44083589|44143624	0	0	0	4
chr2:105367570|105396697	0	0	0	3
chr1:111230742|111231294	4	0	0	0
chr16:28593442|28620133	4	0	0	1
chr12:21318782|21334704	0	0	2	0
chr1:156134805|156136436	0	0	0	4
chr19:35791760|35792442	3	0	0	0
chr20:57514592|57523278	0	0	0	11
chr9:5742869|5756372	0	6	0	0
chr1:158936891|158939247	0	0	6	10
chr20:1473118|1478607	6	0	0	0
chr19:43962725|43965076	0	0	8	0
chr1:18889362|18890105	0	0	2	0
chr20:50942031|50955285	0	0	0	2
chr17:42998690|42999292	5	0	0	0
chr3:191212533|191218961	0	6	1	0
chr2:54334817|54360271	0	0	4	0
chr17:4635759|4638684	0	0	6	0
chr8:65531415|65534864	0	7	0	0
chr4:45014152|45023027	5	0	0	5
chr20:63999603|64016845	0	9	0	0
chr17:17817548|17817916	0	8	0	0
chr4:140947654|140949372	6	0	0	0
chr1:24814094|24827116	0	4	0	0
chr14:105379739|105382913	0	0	0	11
chr8:144889933|144890403	0	3	0	0
chr3:125107481|125118856	2	0	0	0
chr5:72228266|72232558	2	0	0	0
chr19:18252064|18255419	0	0	0	8
chr19:44442814|44447600	3	6	7	0
chr4:158715297|158719286	0	0	7	0
chr17:50656702|50658207	0	0	4	0
chrY:26414048|26414502	0	0	10	0
chr4:41943747|41944926	0	0	6	0
chr7:148815506|148828880	3	0	0	0
chr1:91978168|91981381	0	0	5	0
chr2:227519948|227523925	8	0	0	0
chr7:5528281|5529663	0	0	0	8
chrX:48523699|48527285	0	0	5	0
chr1:240330603|240355908	0	0	0	4
chr7:37685179|37730038	0	0	6	0
chr14:100828708|100845533	9	0	0	0
chr8:143889704|143890451	5	11	7	1
chr4:17619901|17621699	0	0	5	0
chr11:4988068|4989868	10	0	0	0
chr1:109915634|109917463	0	6	0	0
chr3:138023658|138029907	0	4	0	0
chr17:40699998|40701296	0	0	10	0
chr16:2613960|2697997	0	0	5	0
chrX:21590572|21601349	6	0	0	0
chr5:16463108|16463742	4	0	6	0
chr19:12466724|12513833	0	6	0	0
chr7:76063515|76064438	0	0	0	3
chr14:103708522|103711567	5	0	0	0
chr19:990223|991145	0	0	2	0
chr19:51716968|51719898	0	3	7	0
chr7:2363632|2364529	6	0	0	0
chr12:111783158|111785346	0	4	0	0
chr19:35133318|35134104	0	0	0	6
chr11:68564303|68576043	0	0	7	0
chr15:42530915|42548244	0	5	0	0
chr19:51060433|51063861	1	0	0	8
chr17:60623521|60633977	0	0	5	0
chr14:33929076|33931215	0	5	0	0
chr17:4895350|4896342	0	0	0	6
chr4:89822246|89828184	5	0	0	0
chr12:101402865|101405981	0	0	0	5
chr11:120305644|120307615	0	0	3	0
chr19:18121850|18123655	0	2	1	0
chr7:84007353|84014351	0	0	0	5
chr1:51302357|51306076	0	5	0	0
chr9:37762577|37770019	0	0	9	0
chr6:51959870|52028351	0	0	4	0
chr10:5283710|5284931	2	0	0	5
chr22:43838867|43841932	0	0	5	0
chr12:4662533|4682300	0	0	10	0
chr1:75137100|75143948	0	3	0	0
chr12:21176776|21200672	0	0	3	0
chr6:36368929|36373578	3	0	0	0
chr7:44149760|44151024	0	0	6	0
chr15:101685896|101703937	0	6	0	0
chr5:40767466|40775503	0	0	0	3
chr19:49476145|49476566	0	0	0	2
chr20:2988338|3021428	0	0	11	0
chr2:43781628|43783554	0	0	0	4
chr20:24970197|24978882	0	0	3	2
chr1:201365610|201367803	0	4	0	0
chr2:71138490|71141369	5	0	0	0
chr17:28385040|28388276	0	0	0	3
chr19:8821180|8824417	0	0	0	10
chr5:38406828|38425092	0	6	0	0
chr11:111875698|111876639	4	0	0	3
chr19:40776969|40783840	8	0	0	2
chr6:15487307|15507254	0	4	0	0
chr19:5745913|5754245	8	10	0	0
chr3:123154971|123161455	0	6	0	0
chr18:9359972|9388140	2	0	0	8
chr2:197766532|197777113	0	7	0	2
chr2:73845167|73847753	5	0	0	0
chr1:35826748|35832570	0	0	5	0
chr11:113979233|113986175	0	0	5	0
chr1:205306188|205308732	0	0	2	0
chr10:88667569|88671965	0	4	0	0
chr12:48939997|48941188	0	0	4	0
chr4:103656194|103658403	0	4	4	0
chrX:55263251|55263925	0	0	3	2
chr2:233845728|233852620	0	0	0	7
chr9:37521569|37529260	6	0	6	0
chr6:143850131|143860553	6	0	0	3
chr1:213117317|213176492	0	0	6	0
chr10:13597458|13611683	0	0	0	14
chr11:19230631|19235058	4	0	2	9
chr22:30610871|30614501	0	0	4	0
chr22:29288606|29292606	0	0	0	2
chr1:54674000|54692561	8	0	0	0
chr2:127323902|127330008	0	0	0	5
chr6:109475399|109476930	0	8	1	0
chr5:138328484|138329647	0	0	2	0
chr9:120970170|120974931	0	8	0	0
chr1:14348475|14390751	0	5	0	0
chrX:55263251|55263911	0	3	0	0
chrX:136230385|136232097	9	0	0	0
chr10:46013550|46015266	0	0	0	12
chr11:57491716|57497845	2	0	0	0
chr22:31766585|31783985	5	0	0	0
chr17:64390489|64390763	0	4	0	0
chr19:2337443|2338841	3	0	0	0
chr10:7769216|7779019	7	0	0	0
chr14:28986400|29019087	0	5	0	0
chr13:113110704|113113960	8	0	0	0
chr17:62507381|62522273	0	0	3	0
chr4:44685959|44689409	0	2	0	0
chr11:123740117|123740536	0	0	0	3
chr20:6050779|6052804	9	1	8	0
chr2:113263278|113270307	0	0	0	9
chr19:17365286|17366195	0	0	0	8
chrX:134788730|134789636	0	4	0	0
chr19:46387366|46388448	4	0	0	0
chr10:104073951|104077526	3	0	0	0
chr1:30739809|30741716	0	0	6	0
chr5:159347516|159392577	0	0	5	0
chr14:104773455|104775799	0	0	0	13
chrX:55985999|56014961	0	0	0	12
chr3:102452919|102462378	0	0	0	4
chr8:39474510|39500658	4	0	0	0
chr4:47885498|47896647	0	0	0	4
chr9:109406462|109427122	0	0	0	8
chr1:245059386|245082162	0	0	0	2
chr17:43816677|43825841	0	4	0	0
chr1:1085878|1090428	2	0	0	0
chr5:118474372|118522846	0	6	0	0
chr1:231529255|231537327	3	0	4	0
chrX:106785065|106790282	0	0	0	6
chr3:131024005|131025594	7	0	0	0
chr20:34559208|34559453	1	3	0	0
chr17:9779825|9781594	0	0	4	0
chr4:17886068|17962032	0	0	7	0
chr5:80564384|80569077	0	6	0	0
chr7:92225720|92236542	0	3	0	0
chr5:123028775|123029418	0	6	0	0
chr1:26258143|26269614	0	0	5	0
chr22:47624468|47627577	0	9	0	0
chr7:138768780|138769251	0	0	5	0
chr22:41808875|41813445	0	0	0	3
chr19:13073047|13075671	0	0	7	0
chr11:111876808|111878712	8	0	0	0
chr16:81066193|81090680	0	0	0	7
chr1:65345611|65364785	0	3	0	0
chr17:64972754|64973517	6	0	0	0
chr20:25078829|25079514	0	2	4	0
chr1:180938555|180941285	0	0	0	2
chr7:90479228|90604249	0	0	0	2
chr14:49710263|49729009	0	0	0	2
chr12:102475643|102480400	0	3	0	0
chr15:101684075|101701184	0	0	4	0
chr8:3421659|3422823	0	2	1	0
chr8:49072787|49074136	4	0	4	1
chr15:84687625|84714866	0	0	0	4
chr11:67610995|67611569	4	0	0	0
chr4:102267490|102304481	10	0	0	0
chr4:187582421|187592927	0	3	0	0
chr1:6628499|6630353	3	0	0	0
chr17:43498862|43507688	12	0	0	0
chr11:65279538|65282521	3	0	0	0
chr19:15424613|15427533	0	0	7	0
chr22:16966100|16988116	5	0	0	0
chr1:3833862|3837519	0	0	3	0
chr7:2525219|2525770	0	9	0	0
chr2:68950126|68950755	0	3	0	0
chr19:41239164|41252443	0	0	0	5
chr16:67616745|67626715	0	0	3	0
chr9:34402705|34405964	3	2	0	0
chr10:87388009|87389235	3	0	0	0
chr17:44738379|44741452	0	0	0	4
chr3:197950936|197951311	0	0	0	4
chr1:160167278|160173717	0	3	0	0
chr7:140555636|140568813	0	0	3	0
chr18:26081225|26087577	0	4	0	0
chr19:12948497|12948813	0	0	6	0
chr5:1212303|1216945	9	0	0	0
chr1:228397143|228401194	0	0	5	3
chr5:53060901|53070260	0	2	0	0
chr21:32270407|32274896	0	3	2	0
chr19:18588995|18589683	0	0	0	6
chr19:1488188|1489897	0	0	0	2
chr10:122506691|122508770	0	0	11	0
chr17:30431772|30449748	0	0	7	0
chr12:93566744|93567159	0	0	0	10
chr11:130190113|130190694	5	0	4	0
chr4:154612018|154612435	0	0	6	0
chr10:100479052|100480012	0	0	0	4
chr22:39100272|39101504	0	3	6	0
chr2:27660984|27662281	5	6	0	0
chr17:34626855|34629204	0	0	9	0
chr3:9797659|9800296	3	0	5	5
chr21:36394547|36402851	0	10	0	2
chr11:134356301|134364398	0	0	4	0
chr19:20645684|20646405	0	0	6	0
chr14:51808621|51817036	1	4	1	3
chr7:87163495|87164331	0	0	0	6
chr8:94664697|94668250	0	2	0	0
chr5:118609739|118611427	0	0	0	2
chr9:121313934|121318880	0	0	5	0
chr8:37874515|37877551	0	2	0	0
chr5:151140153|151147926	0	4	0	0
chr4:68232378|68236266	3	0	0	0
chr4:144210773|144220772	10	0	0	10
chr7:132661481|132662082	0	0	0	3
chr3:63864499|63864999	0	0	0	4
chr17:80220916|80221794	0	0	0	8
chr12:53104151|53105243	0	0	0	6
chr5:158341221|158362541	0	8	0	0
chr2:206699727|206705873	0	0	3	0
chr16:56935235|56936817	0	3	0	0
chr8:91071138|91080730	0	2	0	0
chr1:242124468|242265448	5	0	0	0
chr19:14764433|14772497	0	0	3	0
chr10:58361495|58368016	7	0	0	0
chr19:1362250|1367220	0	5	0	0
chr3:114366967|114367221	0	0	5	0
chr4:2258885|2261824	2	0	0	0
chr22:27860131|27896626	0	4	0	0
chr11:61115056|61118480	2	2	0	0
chr3:124462524|124492882	0	0	0	3
chr12:109907526|109908937	0	6	0	0
chr7:2215885|2222754	5	0	0	0
chr11:60292225|60297325	2	0	9	4
chr1:159302306|159302874	2	0	0	1
chr16:67949800|67950711	0	0	0	3
chr4:128831733|128843038	0	0	0	2
chr17:30481143|30484301	0	0	8	0
chr19:10107804|10110020	11	0	0	0
chr16:68274691|68291661	0	0	5	0
chr4:105437950|105449403	0	4	0	0
chr2:171952881|171966513	6	0	0	0
chr2:115097629|115098258	2	0	0	0
chr18:42037692|42038850	2	0	0	0
chr9:34179038|34242108	3	0	0	0
chr10:75235060|75235372	0	0	0	4
chr5:82303774|82310207	0	0	3	0
chr2:176843496|176846377	0	0	0	5
chr6:26504925|26506832	0	5	0	4
chr7:140647721|140652006	1	0	5	8
chr2:74662732|74674676	2	0	0	1
chr17:28959025|28960671	2	0	0	0
chr3:184727400|184734100	3	0	0	0
chr12:101476828|101477651	0	0	2	1
chr20:53562749|53570503	0	3	10	0
chr19:10321048|10323274	0	0	3	0
chr12:122216759|122218397	0	7	0	0
chr6:34989224|35060253	0	7	0	0
chr12:56225373|56225695	2	0	0	3
chr3:156457453|156465686	5	0	0	0
chr15:66443280|66485191	0	0	0	6
chr3:58410090|58412963	0	0	3	3
chr17:43816038|43818110	0	0	2	0
chr1:206897731|206900357	2	0	4	0
chr1:225828725|225840037	0	2	0	0
chrX:45602297|45629634	0	5	0	0
chr19:6972240|6981215	0	6	0	0
chr10:104254710|104255271	0	0	0	7
chr1:183565704|183566988	0	5	0	0
chr20:25214867|25217581	6	0	0	0
chr2:182201688|182230146	3	0	0	0
chr22:38148493|38169471	7	0	0	0
chr19:49809163|49811699	0	0	4	0
chr15:50574637|50578664	0	6	0	0
chr22:42601970|42616121	5	2	0	0
chr8:125011537|125018201	7	0	0	4
chr12:111781918|111785346	0	0	4	0
chr4:26406175|26424479	0	6	0	0
chr19:50980240|50982457	0	7	0	0
chr4:145081660|145096111	0	6	0	0
chr4:992721|993436	3	1	0	0
chr10:58386220|58388260	0	0	3	0
chrX:49689418|49694201	0	0	10	0
chrX:111718112|111725061	0	0	4	0
chr6:152755269|152756265	2	0	0	0
chr17:67345745|67350336	2	4	0	0
chr19:53446227|53447283	0	1	3	0
chr19:3546255|3548030	0	5	0	0
chr3:49732791|49738422	1	0	7	0
chr2:106122970|106158118	2	0	0	0
chr20:32833717|32836841	0	0	6	0
chr17:6426881|6435152	4	0	0	0
chr10:125575025|125576001	2	0	0	0
chr1:37270456|37276247	0	0	0	2
chr6:304628|311962	0	0	1	3
chr2:102726845|102732138	0	6	0	0
chr1:99993537|100007156	0	0	7	0
chr12:21827210|21831194	5	0	0	0
chr1:84372042|84381892	0	0	0	2
chr20:16428953|16508100	0	0	0	8
chr14:64419814|64426192	3	0	0	0
chr12:6773192|6774001	0	2	0	0
chr2:68977495|68977774	7	0	0	0
chr3:169854813|169856872	0	0	7	0
chr22:22646334|22647038	0	0	4	0
chr3:127639245|127668597	7	0	0	0
chr8:144105869|144106674	0	9	0	0
chr11:71802858|71804640	0	0	6	5
chr19:36658299|36664786	0	3	0	0
chr21:39391769|39406731	0	0	2	0
chr19:50406182|50414990	0	0	0	8
chr2:127199376|127201331	0	4	0	0
chr7:55911616|55923288	0	0	0	6
chr8:81823792|81842193	0	0	0	6
chr13:89407264|89475791	0	6	0	0
chr17:7905621|7907247	0	0	7	0
chr3:133806609|133811199	5	0	0	0
chr1:151399981|151401355	7	0	0	0
chr7:101130421|101135594	0	1	5	2
chr22:31621334|31648276	0	0	2	0
chr16:29963107|29963589	0	3	0	0
chr9:136755412|136757168	0	5	0	6
chr5:147636222|147640823	0	0	0	9
chr2:180600734|180602471	0	3	0	0
chr11:46753310|46759043	0	4	0	0
chr2:127280447|127289501	0	8	0	0
chr15:56689300|56704267	0	0	0	2
chr7:82020810|82021205	6	0	0	0
chr1:145974825|145977539	0	0	0	4
chr1:150663632|150694850	0	0	0	8
chr19:24046184|24049548	7	2	0	0
chr1:27956009|27958940	4	0	3	1
chr1:228102080|228102688	0	4	0	0
chr3:185922011|185926734	0	0	5	0
chr11:74706487|74713479	0	8	0	0
chr22:41985984|41989684	0	7	0	9
chr5:80566689|80569107	6	0	0	5
chr1:206770907|206771415	0	2	0	0
chr9:135945889|135946371	5	0	0	0
chr19:49969812|49972101	0	0	8	0
chr3:122826800|122856374	7	0	0	0
chr3:138397324|138400613	0	0	0	5
chr6:160133957|160136334	3	0	0	0
chr15:45115799|45116258	0	6	0	0
chr9:94278758|94292467	0	0	0	4
chr2:73946719|73950732	0	0	0	6
chr21:14000927|14001662	0	0	0	11
chr4:112646588|112647834	2	0	0	0
chr1:156245535|156246756	0	0	8	0
chr20:63928335|63929525	0	0	1	1
chr15:62776764|62797402	0	7	0	0
chr17:44005637|44007773	3	0	0	0
chr1:197645690|197672156	0	0	2	0
chr1:100214817|100230914	0	0	0	2
chr1:159919661|159920537	0	9	0	0
chr12:49752973|49758480	0	0	0	3
chr12:53424709|53429010	0	8	0	0
chr18:48185934|48338398	0	0	0	9
chr9:13004933|13029577	10	0	0	0
chr5:31451533|31483628	0	0	0	3
chr19:38216353|38219058	0	0	0	3
chr13:27834021|27848536	4	0	0	0
