circRNA_ID	gene_id
chr9:27558491|27562476	ENSG00000147894.17
chr9:27560227|27565590	ENSG00000147894.17
chr9:32420856|32427436	ENSG00000122729.19
chr9:32481340|32489451	ENSG00000288684.1
chr9:32481340|32488887	ENSG00000288684.1
chr9:32485175|32491420	ENSG00000288684.1
chr9:32485175|32489451	ENSG00000288684.1
chr9:32487471|32489451	ENSG00000288684.1
chr9:33026813|33034330	ENSG00000086061.16
chr9:33034216|33036257	ENSG00000086061.16
chr9:33057598|33068934	ENSG00000122692.9
chr9:33218365|33221108	ENSG00000122711.9
chr9:33245112|33246728	ENSG00000122711.9
chr9:33318731|33338589	ENSG00000086102.19
chr9:33468508|33469341	ENSG00000165271.17
chr9:33508359|33510711	ENSG00000226823.1
chr9:33798368|33799913	ENSG00000235481.3
chr9:33886881|33900271	ENSG00000107341.5
chr9:33943420|33960878	ENSG00000137073.24
chr9:33943420|33944639	ENSG00000137073.24
chr9:34096716|34098517	ENSG00000198876.13
chr9:34179038|34242108	ENSG00000165006.14
chr9:34241185|34242108	ENSG00000165006.14
chr9:34380897|34381444	ENSG00000164972.14
chr9:34381369|34385781	ENSG00000164972.14
chr9:34402705|34405964	ENSG00000164970.15
chr9:34487946|34490124	ENSG00000122735.16
chr9:34556255|34564832	ENSG00000122756.15
chr9:34623425|34628086	ENSG00000205143.5
chr9:34623864|34628086	ENSG00000205143.5
chr9:34647089|34647705	ENSG00000213930.12
chr9:34647492|34647961	ENSG00000258728.2
chr9:34648998|34656908	ENSG00000258728.2
chr9:34656739|34657587	ENSG00000137070.19
chr9:34657303|34659900	ENSG00000137070.19
chr9:34972411|34977641	ENSG00000122733.12
chr9:35076724|35078736	ENSG00000221829.11
chr9:35106252|35106891	ENSG00000005238.20
chr9:35396841|35397712	ENSG00000198722.15
chr9:35556308|35558567	ENSG00000198853.12
chr9:35562875|35563389	ENSG00000215187.13
chr9:35562875|35563356	ENSG00000215187.13
chr9:35606237|35607672	ENSG00000107140.16
chr9:35611804|35618121	ENSG00000137101.14
chr9:35658576|35660461	ENSG00000159884.12
chr9:35660401|35660647	ENSG00000159884.12
chr9:35724830|35725321	ENSG00000137076.21
chr9:35733396|35735215	ENSG00000107175.12
chr9:35744615|35748973	ENSG00000070610.14
chr9:35750658|35751754	ENSG00000107185.10
chr9:35810247|35811057	ENSG00000137098.14
chr9:35813445|35813784	ENSG00000285645.1
chr9:35835288|35841267	ENSG00000137103.20
chr9:35841526|35846068	ENSG00000137103.20
chr9:36058827|36065624	ENSG00000122707.12
chr9:36063795|36117177	ENSG00000122707.12
chr9:36147786|36148650	ENSG00000122694.16
chr9:36197551|36199096	ENSG00000122705.17
chr9:36227248|36236984	ENSG00000159921.20
chr9:36353170|36376127	ENSG00000137075.18
chr9:36607575|36643083	ENSG00000165304.8
chr9:37327799|37349452	ENSG00000147905.18
chr9:37489315|37495276	ENSG00000137054.16
chr9:37521569|37529260	ENSG00000256966.6
chr9:37522825|37537943	ENSG00000256966.6
chr9:37522825|37532058	ENSG00000256966.6
chr9:37719069|37731103	ENSG00000070601.10
chr9:37762577|37770019	ENSG00000165275.10
chr9:37832063|37956054	ENSG00000255872.3
chr9:37842089|37857351	ENSG00000122741.16
chr9:37974622|38016131	ENSG00000107338.10
chr9:38413237|38414203	ENSG00000137142.5
chr9:38437689|38462233	ENSG00000283162.2
chr9:38456118|38462233	ENSG00000283162.2
chr9:38458368|38469965	ENSG00000283162.2
chr9:38571122|38575698	ENSG00000283486.2
chr9:40758255|40763752	ENSG00000276963.1
chr9:43111266|43119686	ENSG00000277737.3
chr9:62867697|62869304	ENSG00000234665.9
chr9:63055923|63057637	ENSG00000198312.4
chr9:66182326|66184776	ENSG00000284611.1
chr9:68387463|68465208	ENSG00000154330.13
chr9:68742501|68822683	ENSG00000107242.20
chr9:69043461|69046482	ENSG00000165060.15
chr9:69046385|69053260	ENSG00000165060.15
chr9:69046385|69065035	ENSG00000165060.15
chr9:69218257|69228114	ENSG00000119139.21
chr9:69225304|69226175	ENSG00000119139.21
chr9:69227765|69230232	ENSG00000119139.21
chr9:69371499|69383759	ENSG00000135063.20
chr9:69375736|69383759	ENSG00000135063.20
chr9:69732139|69734254	ENSG00000188647.13
chr9:69844517|69856673	ENSG00000204711.9
chr9:71918425|71947112	ENSG00000155621.15
chr9:72056784|72059384	ENSG00000204669.11
chr9:72197462|72213991	ENSG00000119125.17
chr9:72305436|72315090	ENSG00000225434.4
chr9:72927116|72931019	ENSG00000165092.13
chr9:72930879|72940252	ENSG00000165092.13
chr9:73154198|73158601	ENSG00000135046.14
chr9:74634631|74662606	ENSG00000198963.11
chr9:74782679|74800482	ENSG00000119121.22
chr9:74998598|75017448	ENSG00000156017.13
chr9:75016268|75017448	ENSG00000156017.13
chr9:75069742|75077580	ENSG00000106733.21
chr9:75117504|75133401	ENSG00000134996.12
chr9:75127569|75133401	ENSG00000134996.12
chr9:76189631|76292275	ENSG00000099139.14
chr9:77321169|77321746	ENSG00000197969.14
chr9:77456295|77517544	ENSG00000231373.1
chr9:78246669|78253277	ENSG00000148019.14
chr9:79138523|79143231	ENSG00000260995.3
chr9:81611769|81613521	ENSG00000196781.16
chr9:81616646|81620557	ENSG00000196781.16
chr9:81974082|81976806	ENSG00000267559.5
chr9:82277049|82297540	ENSG00000228430.9
chr9:82277049|82349848	ENSG00000228430.9
chr9:82281582|82428293	ENSG00000228430.9
chr9:83299112|83311975	ENSG00000172159.16
chr9:83311887|83343287	ENSG00000172159.16
chr9:83628007|83628959	ENSG00000148057.16
chr9:83669185|83680037	ENSG00000135018.14
chr9:83883813|83891501	ENSG00000165115.15
chr9:83887041|83888592	ENSG00000165115.15
chr9:84292668|84298019	ENSG00000197506.8
chr9:84670377|84707912	ENSG00000148053.18
chr9:84702348|84727959	ENSG00000148053.18
chr9:84707844|84724356	ENSG00000148053.18
chr9:85175476|85182840	ENSG00000285556.1
chr9:85621202|85657643	ENSG00000135049.16
chr9:85621202|85646418	ENSG00000135049.16
chr9:85958472|85959867	ENSG00000135040.16
chr9:85958472|85975033	ENSG00000135040.16
chr9:85976685|86007464	ENSG00000135040.16
chr9:86046470|86052591	ENSG00000135052.16
chr9:86950867|86987615	ENSG00000226237.3
chr9:86981770|86987615	ENSG00000226237.3
chr9:87498970|87605175	ENSG00000196730.13
chr9:87727594|87728809	ENSG00000135047.16
chr9:87727594|87728396	ENSG00000135047.16
chr9:87970776|87974074	ENSG00000156345.18
chr9:88072732|88073036	ENSG00000287750.2
chr9:88426382|88448989	ENSG00000106723.17
chr9:88640511|88647660	ENSG00000228189.5
chr9:88737657|88737877	ENSG00000286414.1
chr9:89334522|89347048	ENSG00000187742.15
chr9:89664928|89673487	ENSG00000237372.4
chr9:89672757|89673487	ENSG00000237372.4
chr9:89698033|89700357	ENSG00000237372.4
chr9:90507258|90508941	ENSG00000229613.2
chr9:90864589|90874849	ENSG00000165025.15
chr9:90864589|90874291	ENSG00000165025.15
chr9:91737391|91883383	ENSG00000169071.15
chr9:92049960|92077035	ENSG00000090054.16
chr9:92135461|92136537	ENSG00000234537.1
chr9:92188518|92189635	ENSG00000276717.2
chr9:92321668|92323503	ENSG00000198000.12
chr9:92323236|92323503	ENSG00000198000.12
chr9:92323441|92324209	ENSG00000198000.12
chr9:92337541|92379859	ENSG00000188312.14
chr9:92389854|92401185	ENSG00000106809.11
chr9:92470669|92474927	ENSG00000106819.13
chr9:92509899|92522893	ENSG00000106823.13
chr9:92634386|92635246	ENSG00000127080.10
chr9:92856192|92875059	ENSG00000127081.14
chr9:92882567|92884000	ENSG00000226668.5
chr9:93069100|93075972	ENSG00000157303.11
chr9:93107674|93109092	ENSG00000165233.18
chr9:93107674|93110721	ENSG00000165233.18
chr9:93261814|93268065	ENSG00000165238.17
chr9:93335876|93346414	ENSG00000204352.4
chr9:93476256|93498886	ENSG00000048828.17
chr9:94085251|94095454	ENSG00000158079.16
chr9:94199198|94223308	ENSG00000230262.8
chr9:94278758|94292467	ENSG00000175787.17
chr9:94498056|94502641	ENSG00000224245.1
chr9:94558720|94587469	ENSG00000130957.5
chr9:94567270|94587469	ENSG00000130957.5
chr9:94572979|94577793	ENSG00000231806.4
chr9:94605457|94610061	ENSG00000165140.12
chr9:94606815|94620491	ENSG00000165140.12
chr9:94606815|94617860	ENSG00000165140.12
chr9:94928425|94967801	ENSG00000148120.18
chr9:95240649|95247516	ENSG00000158169.14
chr9:96097352|96100051	ENSG00000237212.2
chr9:96246556|96252910	ENSG00000285269.2
chr9:96298416|96321341	ENSG00000285269.2
chr9:96351103|96364550	ENSG00000130958.13
chr9:96458379|96484633	ENSG00000130956.14
chr9:96465337|96465778	ENSG00000130956.14
chr9:96774788|96776245	ENSG00000081386.13
chr9:96844890|96852005	ENSG00000196597.13
chr9:97281516|97290902	ENSG00000254633.2
chr9:97314618|97318582	ENSG00000197816.16
chr9:97323781|97347666	ENSG00000255036.6
chr9:97325019|97347666	ENSG00000255036.6
chr9:97516213|97516818	ENSG00000228174.7
chr9:97610346|97625997	ENSG00000136925.15
chr9:97648008|97655764	ENSG00000136937.13
chr9:97648008|97656085	ENSG00000136937.13
chr9:97805840|97810039	ENSG00000236130.2
chr9:97936171|97938191	ENSG00000136929.13
chr9:98060782|98077017	ENSG00000095380.11
chr9:98130955|98134955	ENSG00000106789.13
chr9:98210656|98229148	ENSG00000095383.20
chr9:98371464|98406141	ENSG00000136928.7
chr9:98495966|98496514	ENSG00000136928.7
chr9:99128855|99144888	ENSG00000106799.13
chr9:99825659|99833454	ENSG00000119508.18
chr9:99828041|99833454	ENSG00000119508.18
chr9:100018256|100052532	ENSG00000023318.9
chr9:100326302|100330169	ENSG00000136891.14
chr9:101399028|101399530	ENSG00000136870.11
chr9:101613376|101671107	ENSG00000198785.7
chr9:103001578|103003263	ENSG00000155833.15
chr9:103004969|103006378	ENSG00000155833.15
chr9:103264524|103315281	ENSG00000225564.6
chr9:104111581|104118375	ENSG00000136824.19
chr9:104132009|104136060	ENSG00000136824.19
chr9:104132009|104134575	ENSG00000136824.19
chr9:104750956|104753064	ENSG00000136783.10
chr9:104766325|104769021	ENSG00000165028.12
chr9:104884427|104889195	ENSG00000165029.17
chr9:105464240|105468324	ENSG00000106701.13
chr9:105479354|105508715	ENSG00000106701.13
chr9:105604215|105620061	ENSG00000106692.15
chr9:105705597|105721721	ENSG00000095209.12
chr9:106558472|106588940	ENSG00000234323.9
chr9:106588380|106589013	ENSG00000234323.9
chr9:107302035|107318879	ENSG00000119318.13
chr9:107306379|107318879	ENSG00000119318.13
chr9:107428292|107454973	ENSG00000226825.2
chr9:108899822|108903669	ENSG00000070061.16
chr9:109050570|109064567	ENSG00000106771.13
chr9:109149636|109150860	ENSG00000260230.5
chr9:109243618|109255680	ENSG00000095203.15
chr9:109406462|109427122	ENSG00000070159.14
chr9:109406462|109422852	ENSG00000070159.14
chr9:110250820|110251462	ENSG00000136810.13
chr9:110329232|110334320	ENSG00000204193.11
chr9:110496815|110513105	ENSG00000165124.19
chr9:110973481|111036201	ENSG00000198121.15
chr9:111527268|111530963	ENSG00000173258.13
chr9:111642839|111647259	ENSG00000059769.20
chr9:111748092|111781017	ENSG00000165181.17
chr9:112275844|112297916	ENSG00000119314.16
chr9:112405624|112418958	ENSG00000119471.15
chr9:112804776|112838697	ENSG00000148158.17
chr9:112959793|112960962	ENSG00000237906.1
chr9:112959793|112961814	ENSG00000237906.1
chr9:112972080|112982947	ENSG00000228623.7
chr9:113198855|113203035	ENSG00000119321.10
chr9:113256114|113257185	ENSG00000136868.11
chr9:113282646|113286828	ENSG00000136875.13
chr9:113283132|113284389	ENSG00000136875.13
chr9:113322811|113331116	ENSG00000148225.16
chr9:113354240|113360737	ENSG00000119411.11
chr9:113413445|113413894	ENSG00000157653.12
chr9:113421103|113424316	ENSG00000157653.12
chr9:114032645|114036377	ENSG00000157657.15
chr9:114094181|114095332	ENSG00000136883.16
chr9:114323663|114330862	NA
chr9:114343708|114346009	ENSG00000106948.17
chr9:114359594|114361911	ENSG00000106948.17
chr9:114406355|114425024	ENSG00000095397.16
chr9:114668206|114671827	ENSG00000230601.7
chr9:114671383|114671827	ENSG00000230601.7
chr9:114905828|114918138	ENSG00000106952.8
chr9:115040941|115057425	ENSG00000041982.16
chr9:115126950|115127910	ENSG00000236461.1
chr9:116265857|116335074	ENSG00000182752.10
chr9:116373199|116377647	ENSG00000182752.10
chr9:116841429|116842517	ENSG00000285820.1
chr9:117648596|117650977	ENSG00000233569.2
chr9:117650852|117652447	ENSG00000233569.2
chr9:117708563|117848155	ENSG00000285082.2
chr9:117778090|117784493	ENSG00000284977.2
chr9:119242047|119313405	ENSG00000078725.13
chr9:119248960|119313405	ENSG00000078725.13
chr9:120622616|120659575	ENSG00000106780.9
chr9:120776093|120778545	ENSG00000119402.18
chr9:120776093|120793257	ENSG00000119402.18
chr9:120824494|120831945	ENSG00000095261.14
chr9:120911336|120914300	ENSG00000056558.11
chr9:120914235|120926301	ENSG00000056558.11
chr9:120970170|120974931	ENSG00000106804.9
chr9:120991191|121008498	ENSG00000106804.9
chr9:121313934|121318880	ENSG00000148180.21
chr9:121318406|121324644	ENSG00000148180.21
chr9:121354601|121356156	ENSG00000148175.13
chr9:121974009|122031856	ENSG00000175764.17
chr9:122214283|122227030	ENSG00000106852.16
chr9:122270864|122285287	ENSG00000148187.18
chr9:122280443|122286166	ENSG00000148187.18
chr9:122378433|122381747	ENSG00000095303.17
chr9:122378433|122381552	ENSG00000095303.17
chr9:122576766|122578445	ENSG00000171496.5
chr9:123128214|123132968	ENSG00000165209.19
chr9:123139529|123160462	ENSG00000165209.19
chr9:123365917|123367686	ENSG00000148204.12
chr9:124013961|124015525	ENSG00000106689.11
chr9:124301936|124321569	ENSG00000119408.17
chr9:124312509|124313985	ENSG00000119408.17
chr9:124457472|124468190	ENSG00000180264.12
chr9:124538092|124554570	ENSG00000148200.17
chr9:124543802|124554570	ENSG00000148200.17
chr9:124786975|124799491	ENSG00000185585.20
chr9:124855634|124856600	ENSG00000136918.8
chr9:124855861|124856600	ENSG00000136918.8
chr9:125003114|125003690	ENSG00000173611.18
chr9:125153906|125160906	ENSG00000119414.12
chr9:125158241|125171180	ENSG00000119414.12
chr9:125203008|125220397	ENSG00000136933.17
chr9:125203008|125213522	ENSG00000136933.17
chr9:125323798|125341264	ENSG00000165219.23
chr9:125543059|125657799	ENSG00000119487.17
chr9:125777982|125929845	ENSG00000167081.18
chr9:126381064|126386658	ENSG00000196814.15
chr9:126615383|126693601	ENSG00000136944.19
chr9:126690836|126693323	ENSG00000136944.19
chr9:126962225|126965951	ENSG00000136828.19
chr9:126965844|126977745	ENSG00000136828.19
chr9:127318063|127333121	ENSG00000136895.19
chr9:127336128|127345477	ENSG00000136895.19
chr9:127399907|127403803	ENSG00000136856.18
chr9:127428832|127435216	ENSG00000196152.10
chr9:127473801|127481227	ENSG00000148356.15
chr9:127709422|127712349	ENSG00000160401.15
chr9:127714379|127715194	ENSG00000187024.15
chr9:127720078|127724364	ENSG00000167094.16
chr9:127749211|127762416	ENSG00000095370.20
chr9:127751172|127761650	ENSG00000095370.20
chr9:127806973|127807286	ENSG00000136877.15
chr9:127817759|127818389	ENSG00000225032.5
chr9:127824304|127825860	ENSG00000106991.14
chr9:127872690|127874649	ENSG00000257524.6
chr9:127914656|127916494	ENSG00000136840.19
chr9:127925867|127927208	ENSG00000167103.12
chr9:127945649|127950539	ENSG00000167106.12
chr9:128099275|128101222	ENSG00000148339.13
chr9:128190329|128190862	ENSG00000148337.22
chr9:128323016|128332282	ENSG00000167113.11
chr9:128428302|128428833	ENSG00000167123.20
chr9:128472913|128484886	ENSG00000136811.17
chr9:128632127|128632484	ENSG00000197694.18
chr9:128715172|128716923	ENSG00000160447.7
chr9:128722009|128722574	ENSG00000160446.19
chr9:128789874|128791693	ENSG00000107021.16
chr9:128828735|128828877	ENSG00000198917.13
chr9:128828735|128829155	ENSG00000286112.1
chr9:128832291|128835667	ENSG00000286112.1
chr9:128835997|128838137	ENSG00000171097.14
chr9:128842654|128845411	ENSG00000171097.14
chr9:128927038|128937778	ENSG00000175287.19
chr9:128933782|128934058	ENSG00000175287.19
chr9:128949189|128952846	ENSG00000095319.14
chr9:129040452|129042514	ENSG00000148343.19
chr9:129060550|129061346	ENSG00000148343.19
chr9:129084668|129085616	ENSG00000167130.18
chr9:129084668|129085306	ENSG00000167130.18
chr9:129085023|129085306	ENSG00000167130.18
chr9:129099866|129102565	ENSG00000095321.18
chr9:129338792|129342043	ENSG00000233901.7
chr9:129613107|129620743	ENSG00000179058.7
chr9:129615484|129620743	ENSG00000179058.7
chr9:129639402|129640722	ENSG00000148331.12
chr9:129830871|129834766	ENSG00000136819.15
chr9:130219725|130222738	ENSG00000107130.10
chr9:130466725|130476961	ENSG00000130707.18
chr9:130666608|130668313	ENSG00000130711.5
chr9:130695492|130697627	ENSG00000130713.17
chr9:130697582|130700935	ENSG00000130713.17
chr9:131052850|131069050	ENSG00000050555.19
chr9:131126412|131127719	ENSG00000126883.19
chr9:131135940|131147584	ENSG00000126883.19
chr9:131325452|131347756	ENSG00000160539.6
chr9:131436620|131439061	ENSG00000288841.1
chr9:131487856|131491580	ENSG00000288701.1
chr9:131619051|131621998	ENSG00000107263.19
chr9:132269615|132271808	ENSG00000107290.14
chr9:132283264|132288651	ENSG00000107290.14
chr9:132390597|132398326	ENSG00000125482.13
chr9:132498695|132499600	ENSG00000188523.9
chr9:132648189|132651116	ENSG00000125485.18
chr9:132651075|132659780	ENSG00000125485.18
chr9:132661208|132670401	ENSG00000125485.18
chr9:132677977|132683693	ENSG00000125484.12
chr9:132826854|132854925	ENSG00000165695.10
chr9:133065040|133066945	ENSG00000170835.17
chr9:133104263|133108406	ENSG00000285245.1
chr9:133105932|133109721	ENSG00000285245.1
chr9:133155901|133161532	ENSG00000148288.13
chr9:133518874|133520288	ENSG00000187616.5
chr9:133520174|133528612	ENSG00000187616.5
chr9:133540878|133554693	ENSG00000197859.11
chr9:133540878|133561295	ENSG00000197859.11
chr9:133544470|133555930	ENSG00000197859.11
chr9:133643413|133651777	ENSG00000123454.12
chr9:133671535|133694371	ENSG00000123453.19
chr9:133702916|133731484	ENSG00000123453.19
chr9:134025486|134026090	ENSG00000235106.10
chr9:134045293|134051709	ENSG00000169925.17
chr9:134408149|134421805	ENSG00000186350.12
chr9:134782667|134796901	ENSG00000130635.16
chr9:134880812|134885897	ENSG00000160339.16
chr9:135500570|135501123	ENSG00000122140.12
chr9:135500998|135501973	ENSG00000122140.12
chr9:135561758|135565514	ENSG00000122133.17
chr9:135577350|135577774	ENSG00000237339.5
chr9:135588593|135589484	ENSG00000224045.1
chr9:135605215|135615498	ENSG00000236543.3
chr9:135616587|135617016	ENSG00000236543.3
chr9:135631431|135639193	ENSG00000204007.8
chr9:135694387|135695263	ENSG00000165643.11
chr9:135697506|135699126	ENSG00000165643.11
chr9:135697506|135698476	ENSG00000165643.11
chr9:135768610|135772949	ENSG00000107147.14
chr9:135945889|135946371	ENSG00000130560.9
chr9:135945889|135953753	ENSG00000130560.9
chr9:136016265|136050580	ENSG00000148411.8
chr9:136199678|136200753	ENSG00000107187.17
chr9:136337441|136339815	ENSG00000160360.13
chr9:136365141|136366845	ENSG00000187796.16
chr9:136367637|136370701	ENSG00000187796.16
chr9:136369750|136371145	ENSG00000187796.16
chr9:136405118|136405978	ENSG00000165689.17
chr9:136418017|136418673	ENSG00000165688.12
chr9:136432479|136434134	ENSG00000148384.14
chr9:136447569|136451408	ENSG00000148396.19
chr9:136447853|136448161	ENSG00000148396.19
chr9:136742787|136745280	ENSG00000204003.8
chr9:136744640|136745280	ENSG00000267206.6
chr9:136755412|136757168	ENSG00000204001.10
chr9:136791947|136792358	ENSG00000272896.1
chr9:136800389|136804816	ENSG00000273066.5
chr9:136800389|136805457	ENSG00000213213.14
chr9:136806050|136807202	ENSG00000228544.1
chr9:136806078|136806867	ENSG00000273066.5
chr9:136806385|136807202	ENSG00000228544.1
chr9:136831721|136835845	ENSG00000196642.19
chr9:136849111|136850137	ENSG00000054148.18
chr9:136855254|136857041	ENSG00000177943.14
chr9:136863288|136863871	ENSG00000107223.13
chr9:136889670|136890542	ENSG00000127191.18
chr9:136945634|136946566	ENSG00000176919.13
chr9:136952892|136953779	ENSG00000184925.12
chr9:136978993|136980284	ENSG00000284341.1
chr9:136979223|136980855	ENSG00000284341.1
chr9:136979946|136980855	ENSG00000284341.1
chr9:136994930|136995567	ENSG00000169583.13
chr9:136995186|136995757	ENSG00000169583.13
chr9:136995442|136995757	ENSG00000169583.13
chr9:137022941|137024236	ENSG00000107331.18
chr9:137033193|137035282	ENSG00000180539.8
chr9:137039971|137040436	ENSG00000107281.10
chr9:137040671|137041187	ENSG00000107281.10
chr9:137050284|137051370	ENSG00000054179.12
chr9:137051510|137052348	ENSG00000054179.12
chr9:137078502|137079449	ENSG00000197355.11
chr9:137161289|137162739	ENSG00000176884.16
chr9:137213967|137215018	ENSG00000188566.15
chr9:137232575|137233404	ENSG00000198569.10
chr9:137251738|137252135	ENSG00000197768.11
chr9:137263037|137266426	ENSG00000188986.9
chr9:137351318|137352786	ENSG00000187609.16
chr9:137352620|137352944	ENSG00000187609.16
chr9:137430784|137433864	ENSG00000188747.9
chr9:137430784|137433074	ENSG00000188747.9
chr9:137436521|137438084	ENSG00000188833.10
chr9:137436869|137438305	ENSG00000188833.10
chr9:137437159|137438084	ENSG00000188833.10
chr9:137540642|137543815	ENSG00000130653.16
chr9:137612896|137613769	ENSG00000197070.14
chr9:137754171|137778055	ENSG00000181090.21
chr9:138043774|138058250	ENSG00000148408.14
chrY:2842165|2845743	ENSG00000129824.16
chrY:2844077|2854771	ENSG00000129824.16
chrY:2961074|2975244	ENSG00000067646.12
chrY:7042980|7074620	ENSG00000092377.15
chrY:7087267|7090190	ENSG00000092377.15
chrY:7776834|7805604	ENSG00000234795.10
chrY:8581649|8595452	ENSG00000286217.2
chrY:8639560|8644327	ENSG00000286217.2
chrY:8689071|8693963	ENSG00000233699.2
chrY:8907094|8914204	ENSG00000173357.12
chrY:9625862|9626201	ENSG00000234110.1
chrY:9795345|9809385	ENSG00000224075.2
chrY:9804774|9809385	ENSG00000224075.2
chrY:9995597|10034187	ENSG00000236718.4
chrY:11350877|11383012	ENSG00000183704.7
chrY:12365940|12377822	ENSG00000225117.2
chrY:12365940|12374080	ENSG00000225117.2
chrY:12779526|12790532	ENSG00000114374.13
chrY:12913718|12917060	ENSG00000067048.17
chrY:13159956|13162214	ENSG00000235462.1
chrY:13334218|13359986	ENSG00000183878.16
chrY:13754640|13869128	ENSG00000241859.7
chrY:14622009|14723269	ENSG00000165246.15
chrY:19715615|19731930	ENSG00000012817.16
chrY:20579608|20582693	ENSG00000198692.10
chrY:20729923|20734150	ENSG00000225624.1
chrY:20730769|20731040	ENSG00000225624.1
chrY:20756778|20761381	ENSG00000280969.2
chrY:21148419|21151642	ENSG00000289707.1
chrY:21151589|21197203	ENSG00000289707.1
chrY:21151589|21228459	ENSG00000289707.1
chrY:21395871|21397452	ENSG00000223637.8
chrY:21396346|21397452	ENSG00000223637.8
chrY:22314493|22318897	ENSG00000243040.6
chrY:26328946|26335719	ENSG00000229238.3
chrY:26414048|26414502	ENSG00000188399.5
chr7:832505|838986	ENSG00000164828.18
chr7:886056|886650	ENSG00000239857.7
chr7:887370|892418	ENSG00000239857.7
chr7:900533|920050	ENSG00000240230.6
chr7:984950|987245	ENSG00000073067.14
chr7:1009950|1109461	ENSG00000146540.15
chr7:1157656|1158257	ENSG00000178381.12
chr7:1438840|1447765	ENSG00000164877.19
chr7:2215885|2222754	ENSG00000286192.1
chr7:2264298|2269639	ENSG00000106266.11
chr7:2360710|2363760	ENSG00000106263.19
chr7:2363632|2364529	ENSG00000106263.19
chr7:2378689|2379242	ENSG00000106263.19
chr7:2475669|2475999	ENSG00000275572.2
chr7:2524695|2525770	ENSG00000106003.14
chr7:2525219|2525770	ENSG00000106003.14
chr7:2539786|2540894	ENSG00000106009.16
chr7:2541718|2545056	ENSG00000106009.16
chr7:2649913|2656184	ENSG00000136295.15
chr7:2702722|2708716	ENSG00000174945.14
chr7:2924233|2930060	ENSG00000198286.10
chr7:4756994|4759217	ENSG00000164916.11
chr7:4785415|4786428	ENSG00000242802.9
chr7:4916005|4925532	ENSG00000136297.15
chr7:5216563|5222672	ENSG00000157954.15
chr7:5291124|5297198	ENSG00000164638.11
chr7:5377371|5378024	ENSG00000182095.15
chr7:5528281|5529663	ENSG00000075624.17
chr7:5529161|5529733	ENSG00000075624.17
chr7:5831181|5833568	ENSG00000235944.9
chr7:5833527|5840075	ENSG00000235944.9
chr7:5989800|5997423	ENSG00000122512.16
chr7:6421727|6432959	ENSG00000164535.15
chr7:6602101|6602752	ENSG00000146576.13
chr7:6637350|6638009	ENSG00000205903.7
chr7:6639042|6643073	ENSG00000205903.7
chr7:6639042|6642764	ENSG00000205903.7
chr7:6924664|6926979	ENSG00000226943.3
chr7:6936501|6937964	ENSG00000242731.3
chr7:6936501|6939603	ENSG00000242731.3
