circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID	Score
chr9:35556308|35558567	chr9	35556308	35558567	8	3_6_0	1	0.94	exon	ENSG00000198853.12	+	simulate:492129,simulate:492139,simulate:492138,simulate:492127,simulate:492137,simulate:492125,simulate:492141,simulate:492130	5
chr9:35660401|35660647	chr9	35660401	35660647	2	1_2_0	0	1.00	exon	ENSG00000159884.12	+	simulate:490426,simulate:490427	1
chr9:35733396|35735215	chr9	35733396	35735215	3	2_3_0	0	1.00	exon	ENSG00000107175.12	+	simulate:470438,simulate:470437,simulate:470435	2
chr9:35744615|35748973	chr9	35744615	35748973	9	6_6_0	0	1.00	exon	ENSG00000070610.14	-	simulate:474668,simulate:474657,simulate:474678,simulate:474666,simulate:474676,simulate:474674,simulate:474662,simulate:474672,simulate:474670	4
chr9:35813445|35813784	chr9	35813445	35813784	7	4_5_1	3	0.82	exon	ENSG00000285645.1	-	simulate:475581,simulate:475582,simulate:475573,simulate:475574,simulate:475576,simulate:475577,simulate:475579	2
chr9:35841526|35846068	chr9	35841526	35846068	4	4_2_0	0	1.00	exon	ENSG00000137103.20	+	simulate:513461,simulate:513471,simulate:513465,simulate:513463	2
chr9:36063795|36117177	chr9	36063795	36117177	2	2_2_0	0	1.00	exon	ENSG00000122707.12	+	simulate:484253,simulate:484261	2
chr9:36353170|36376127	chr9	36353170	36376127	5	3_5_0	2	0.83	exon	ENSG00000137075.18	-	simulate:511492,simulate:511504,simulate:511500,simulate:511498,simulate:511488	3
chr9:36607575|36643083	chr9	36607575	36643083	4	3_3_0	0	1.00	exon	ENSG00000165304.8	+	simulate:501122,simulate:501124,simulate:501125,simulate:501128	1
chr9:37327799|37349452	chr9	37327799	37349452	2	0_2_1	0	1.00	exon	ENSG00000147905.18	+	simulate:515278,simulate:515279	1
chr9:37832063|37956054	chr9	37832063	37956054	6	2_4_1	6	0.67	exon	ENSG00000255872.3	-	simulate:502381,simulate:502372,simulate:502373,simulate:502375,simulate:502379,simulate:502368	2
chr9:37842089|37857351	chr9	37842089	37857351	5	3_5_0	9	0.53	exon	ENSG00000122741.16	+	simulate:491757,simulate:491754,simulate:491747,simulate:491759,simulate:491751	2
chr9:38458368|38469965	chr9	38458368	38469965	6	4_5_0	0	1.00	exon	ENSG00000283162.2	+	simulate:495659,simulate:495666,simulate:495667,simulate:495662,simulate:495664,simulate:495665	3
chr9:38571122|38575698	chr9	38571122	38575698	9	5_5_0	7	0.72	exon	ENSG00000283486.2	-	simulate:478044,simulate:478033,simulate:478043,simulate:478046,simulate:478035,simulate:478045,simulate:478036,simulate:478038,simulate:478040	0
chr9:40758255|40763752	chr9	40758255	40763752	7	4_2_2	1	0.93	exon	ENSG00000276963.1	-	simulate:471869,simulate:471866,simulate:471878,simulate:471885,simulate:471874,simulate:471883,simulate:471870	0
chr9:63055923|63057637	chr9	63055923	63057637	6	5_2_0	7	0.63	exon	ENSG00000198312.4	+	simulate:471319,simulate:471317,simulate:471314,simulate:471315,simulate:471324,simulate:499612	0
chr9:69046385|69053260	chr9	69046385	69053260	4	2_4_0	8	0.50	exon	ENSG00000165060.15	+	simulate:504063,simulate:504067,simulate:504065,simulate:504066	0
chr9:69225304|69226175	chr9	69225304	69226175	5	4_3_1	10	0.50	exon	ENSG00000119139.21	+	simulate:476980,simulate:476982,simulate:476983,simulate:476985,simulate:476979	3
chr9:74998598|75017448	chr9	74998598	75017448	6	3_6_0	0	1.00	exon	ENSG00000156017.13	-	simulate:500790,simulate:500795,simulate:500784,simulate:500798,simulate:500788,simulate:500805	3
chr9:77456295|77517544	chr9	77456295	77517544	5	2_4_0	0	1.00	exon	ENSG00000231373.1	+	simulate:501161,simulate:501162,simulate:501164,simulate:501167,simulate:501168	0
chr9:82277049|82297540	chr9	82277049	82297540	7	4_5_0	0	1.00	exon	ENSG00000228430.9	+	simulate:492549,simulate:492541,simulate:492540,simulate:492545,simulate:492544,simulate:492543,simulate:492542	2
chr9:83628007|83628959	chr9	83628007	83628959	2	2_2_0	8	0.33	exon	ENSG00000148057.16	+	simulate:489210,simulate:489206	1
chr9:84702348|84727959	chr9	84702348	84727959	2	2_2_0	1	0.80	exon	ENSG00000148053.18	+	simulate:481441,simulate:481439	2
chr9:85976685|86007464	chr9	85976685	86007464	2	0_2_1	5	0.44	exon	ENSG00000135040.16	+	simulate:509141,simulate:509142	1
chr9:86046470|86052591	chr9	86046470	86052591	6	5_3_2	14	0.46	exon	ENSG00000135052.16	-	simulate:506260,simulate:506262,simulate:506261,simulate:506257,simulate:506259,simulate:506258	4
chr9:86981770|86987615	chr9	86981770	86987615	2	1_2_0	1	0.80	exon	ENSG00000226237.3	+	simulate:497306,simulate:497303	1
chr9:87727594|87728809	chr9	87727594	87728809	3	3_2_0	9	0.40	exon	ENSG00000135047.16	+	simulate:477454,simulate:477446,simulate:477457	2
chr9:88737657|88737877	chr9	88737657	88737877	5	2_3_3	0	1.00	exon	ENSG00000286414.1	-	simulate:502631,simulate:502633,simulate:502632,simulate:502635,simulate:502634	3
chr9:89664928|89673487	chr9	89664928	89673487	5	5_5_0	0	1.00	exon	ENSG00000237372.4	+	simulate:507100,simulate:507121,simulate:507130,simulate:507148,simulate:507113	4
chr9:91737391|91883383	chr9	91737391	91883383	5	4_4_0	19	0.34	exon	ENSG00000169071.15	-	simulate:494577,simulate:494578,simulate:494568,simulate:494581,simulate:494572	3
chr9:92389854|92401185	chr9	92389854	92401185	10	9_5_0	0	1.00	exon	ENSG00000106809.11	-	simulate:501430,simulate:501411,simulate:501425,simulate:501414,simulate:501415,simulate:501416,simulate:501428,simulate:501418,simulate:501429,simulate:501419	6
chr9:92634386|92635246	chr9	92634386	92635246	6	6_5_0	5	0.71	exon	ENSG00000127080.10	-	simulate:475503,simulate:475504,simulate:475505,simulate:475506,simulate:475508,simulate:475509	5
chr9:93335876|93346414	chr9	93335876	93346414	5	1_5_0	2	0.83	exon	ENSG00000204352.4	-	simulate:479761,simulate:479760,simulate:479763,simulate:479752,simulate:479759	0
chr9:94558720|94587469	chr9	94558720	94587469	5	3_4_0	7	0.59	exon	ENSG00000130957.5	-	simulate:477740,simulate:477732,simulate:477725,simulate:477758,simulate:477738	1
chr9:94572979|94577793	chr9	94572979	94577793	4	1_4_1	3	0.73	exon	ENSG00000231806.4	+	simulate:490315,simulate:490319,simulate:490318,simulate:490312	2
chr9:94606815|94620491	chr9	94606815	94620491	5	3_3_0	0	1.00	exon	ENSG00000165140.12	-	simulate:491339,simulate:491347,simulate:491350,simulate:491351,simulate:491335	1
chr9:96097352|96100051	chr9	96097352	96100051	6	5_3_2	1	0.92	exon	ENSG00000237212.2	+	simulate:474627,simulate:474626,simulate:474622,simulate:474621,simulate:474620,simulate:474630	4
chr9:96351103|96364550	chr9	96351103	96364550	9	3_8_3	1	0.95	exon	ENSG00000130958.13	-	simulate:491259,simulate:491265,simulate:491262,simulate:491263,simulate:491258,simulate:491266,simulate:491267,simulate:491256,simulate:491260	5
chr9:97314618|97318582	chr9	97314618	97318582	8	6_6_0	12	0.57	exon	ENSG00000197816.16	+	simulate:503193,simulate:503195,simulate:503201,simulate:503200,simulate:503203,simulate:503205,simulate:503207,simulate:503206	4
chr9:97805840|97810039	chr9	97805840	97810039	7	6_5_0	0	1.00	exon	ENSG00000236130.2	-	simulate:494584,simulate:494585,simulate:494586,simulate:494587,simulate:494593,simulate:494583,simulate:494594	4
chr9:97936171|97938191	chr9	97936171	97938191	5	3_4_1	0	1.00	exon	ENSG00000136929.13	-	simulate:501241,simulate:501242,simulate:501243,simulate:501247,simulate:501248	3
chr9:98495966|98496514	chr9	98495966	98496514	2	2_2_0	0	1.00	exon	ENSG00000136928.7	-	simulate:499147,simulate:499144	2
chr9:103001578|103003263	chr9	103001578	103003263	4	0_3_2	0	1.00	exon	ENSG00000155833.15	+	simulate:508913,simulate:508914,simulate:508911,simulate:508912	1
chr9:103264524|103315281	chr9	103264524	103315281	3	2_2_0	8	0.43	exon	ENSG00000225564.6	-	simulate:498775,simulate:498783,simulate:498770	1
chr9:104111581|104118375	chr9	104111581	104118375	3	1_3_0	0	1.00	exon	ENSG00000136824.19	+	simulate:509926,simulate:509935,simulate:509957	1
chr9:104766325|104769021	chr9	104766325	104769021	3	3_3_0	15	0.29	exon	ENSG00000165028.12	+	simulate:494342,simulate:494345,simulate:494341	3
chr9:104884427|104889195	chr9	104884427	104889195	5	4_3_0	0	1.00	exon	ENSG00000165029.17	-	simulate:472605,simulate:472604,simulate:472603,simulate:472601,simulate:472600	2
chr9:105464240|105468324	chr9	105464240	105468324	7	6_4_0	0	1.00	exon	ENSG00000106701.13	+	simulate:491154,simulate:491155,simulate:491152,simulate:491153,simulate:491159,simulate:491156,simulate:491157	2
chr9:106558472|106588940	chr9	106558472	106588940	7	6_6_0	6	0.70	exon	ENSG00000234323.9	+	simulate:493703,simulate:493702,simulate:493701,simulate:493707,simulate:493696,simulate:493698,simulate:493697	5
chr9:107306379|107318879	chr9	107306379	107318879	10	7_8_0	4	0.83	exon	ENSG00000119318.13	+	simulate:475940,simulate:475941,simulate:475942,simulate:475943,simulate:475944,simulate:475946,simulate:475947,simulate:475936,simulate:475938,simulate:475939	5
chr9:107428292|107454973	chr9	107428292	107454973	2	2_1_0	1	0.80	exon	ENSG00000226825.2	-	simulate:472308,simulate:472305	1
chr9:108899822|108903669	chr9	108899822	108903669	5	5_5_0	0	1.00	exon	ENSG00000070061.16	-	simulate:499938,simulate:499958,simulate:499934,simulate:499943,simulate:499942	5
chr9:109149636|109150860	chr9	109149636	109150860	7	4_5_1	9	0.61	exon	ENSG00000260230.5	-	simulate:514510,simulate:514512,simulate:514513,simulate:514514,simulate:514516,simulate:514507,simulate:514508	3
chr9:110973481|111036201	chr9	110973481	111036201	6	5_5_0	0	1.00	exon	ENSG00000198121.15	-	simulate:498406,simulate:498408,simulate:498407,simulate:498413,simulate:498412,simulate:498411	4
chr9:111642839|111647259	chr9	111642839	111647259	6	4_3_1	14	0.46	exon	ENSG00000059769.20	+	simulate:488349,simulate:488348,simulate:488347,simulate:488356,simulate:488345,simulate:488353	2
chr9:111748092|111781017	chr9	111748092	111781017	2	2_2_0	2	0.67	exon	ENSG00000165181.17	-	simulate:507590,simulate:507589	2
chr9:113256114|113257185	chr9	113256114	113257185	5	2_3_0	0	1.00	exon	ENSG00000136868.11	+	simulate:491166,simulate:491164,simulate:491169,simulate:491170,simulate:491160	1
chr9:113413445|113413894	chr9	113413445	113413894	6	5_5_0	0	1.00	exon	ENSG00000157653.12	+	simulate:485537,simulate:485544,simulate:485533,simulate:485532,simulate:485540,simulate:485530	4
chr9:117650852|117652447	chr9	117650852	117652447	4	4_4_0	0	1.00	exon	ENSG00000233569.2	+	simulate:494609,simulate:494614,simulate:494611,simulate:494613	4
chr9:117778090|117784493	chr9	117778090	117784493	6	5_4_0	5	0.71	exon	ENSG00000284977.2	+	simulate:506822,simulate:506821,simulate:506826,simulate:506824,simulate:506823,simulate:506819	3
chr9:119242047|119313405	chr9	119242047	119313405	8	4_7_1	0	1.00	exon	ENSG00000078725.13	-	simulate:500850,simulate:500853,simulate:500843,simulate:500845,simulate:500857,simulate:500858,simulate:500848,simulate:500838	4
chr9:120622616|120659575	chr9	120622616	120659575	2	1_2_0	1	0.80	exon	ENSG00000106780.9	-	simulate:501399,simulate:501401	1
chr9:120776093|120778545	chr9	120776093	120778545	3	2_3_0	0	1.00	exon	ENSG00000119402.18	-	simulate:492735,simulate:492734,simulate:492733	2
chr9:120911336|120914300	chr9	120911336	120914300	3	3_3_0	1	0.86	exon	ENSG00000056558.11	-	simulate:482753,simulate:482746,simulate:482745	3
chr9:120970170|120974931	chr9	120970170	120974931	8	5_6_0	0	1.00	exon	ENSG00000106804.9	-	simulate:495308,simulate:495314,simulate:495304,simulate:495305,simulate:495317,simulate:495321,simulate:495311,simulate:495313	3
chr9:121318406|121324644	chr9	121318406	121324644	3	3_3_0	0	1.00	exon	ENSG00000148180.21	+	simulate:482543,simulate:482546,simulate:482537	3
chr9:122378433|122381552	chr9	122378433	122381552	8	5_2_4	1	0.94	exon	ENSG00000095303.17	+	simulate:497104,simulate:497103,simulate:497106,simulate:497100,simulate:497099,simulate:497101,simulate:497098,simulate:497097	3
chr9:123139529|123160462	chr9	123139529	123160462	4	3_3_0	0	1.00	exon	ENSG00000165209.19	-	simulate:486635,simulate:486644,simulate:486640,simulate:486641	2
chr9:124457472|124468190	chr9	124457472	124468190	4	2_3_0	0	1.00	exon	ENSG00000180264.12	+	simulate:500021,simulate:500015,simulate:500028,simulate:500019	1
chr9:124786975|124799491	chr9	124786975	124799491	2	2_1_0	11	0.27	exon	ENSG00000185585.20	+	simulate:483096,simulate:483092	1
chr9:125158241|125171180	chr9	125158241	125171180	3	2_3_0	1	0.86	exon	ENSG00000119414.12	-	simulate:513231,simulate:513237,simulate:513235	2
chr9:125203008|125213522	chr9	125203008	125213522	6	3_5_0	0	1.00	exon	ENSG00000136933.17	+	simulate:511546,simulate:511547,simulate:511544,simulate:511545,simulate:511542,simulate:511543	2
chr9:125543059|125657799	chr9	125543059	125657799	9	5_9_0	14	0.56	exon	ENSG00000119487.17	-	simulate:497438,simulate:497455,simulate:497457,simulate:497441,simulate:497452,simulate:497462,simulate:497454,simulate:497442,simulate:497464	5
chr9:125777982|125929845	chr9	125777982	125929845	6	4_4_0	0	1.00	exon	ENSG00000167081.18	+	simulate:496539,simulate:496547,simulate:496536,simulate:496535,simulate:496538,simulate:496541	2
chr9:127336128|127345477	chr9	127336128	127345477	4	3_3_1	0	1.00	exon	ENSG00000136895.19	+	simulate:490274,simulate:490275,simulate:490279,simulate:490282	3
chr9:127428832|127435216	chr9	127428832	127435216	5	4_4_0	0	1.00	exon	ENSG00000196152.10	+	simulate:470478,simulate:470485,simulate:470483,simulate:470481,simulate:470482	2
chr9:127751172|127761650	chr9	127751172	127761650	5	5_1_3	0	1.00	exon	ENSG00000095370.20	-	simulate:497867,simulate:497868,simulate:497873,simulate:497870,simulate:497871	4
chr9:127824304|127825860	chr9	127824304	127825860	2	2_2_0	13	0.24	exon	ENSG00000106991.14	-	simulate:495274,simulate:495276	2
chr9:127872690|127874649	chr9	127872690	127874649	2	2_1_1	0	1.00	exon	ENSG00000257524.6	-	simulate:485052,simulate:485053	2
chr9:128428302|128428833	chr9	128428302	128428833	2	2_2_0	4	0.50	exon	ENSG00000167123.20	+	simulate:486803,simulate:486804	2
chr9:128472913|128484886	chr9	128472913	128484886	6	5_4_0	23	0.34	exon	ENSG00000136811.17	+	simulate:490252,simulate:490261,simulate:490267,simulate:490268,simulate:490265,simulate:490266	3
chr9:128632127|128632484	chr9	128632127	128632484	3	2_1_1	2	0.75	exon	ENSG00000197694.18	+	simulate:502596,simulate:502595,simulate:502597	1
chr9:128715172|128716923	chr9	128715172	128716923	5	3_4_2	15	0.40	exon	ENSG00000160447.7	+	simulate:484578,simulate:484576,simulate:484577,simulate:484575,simulate:484580	4
chr9:128828735|128828877	chr9	128828735	128828877	5	4_4_0	9	0.53	exon	ENSG00000198917.13	-	simulate:514695,simulate:514691,simulate:514692,simulate:514693,simulate:514694	3
chr9:128835997|128838137	chr9	128835997	128838137	2	1_2_0	15	0.21	exon	ENSG00000171097.14	-	simulate:471044,simulate:471045	1
chr9:128949189|128952846	chr9	128949189	128952846	3	1_1_2	10	0.38	exon	ENSG00000095319.14	+	simulate:511883,simulate:511881,simulate:511880	1
chr9:129040452|129042514	chr9	129040452	129042514	7	6_6_0	1	0.93	exon	ENSG00000148343.19	+	simulate:472947,simulate:472958,simulate:472957,simulate:472946,simulate:472955,simulate:472953,simulate:472962	5
chr9:129084668|129085616	chr9	129084668	129085616	8	5_5_0	0	1.00	exon	ENSG00000167130.18	+	simulate:479024,simulate:479022,simulate:479023,simulate:479028,simulate:479029,simulate:479026,simulate:479027,simulate:479021	2
chr9:129099866|129102565	chr9	129099866	129102565	2	2_1_0	10	0.29	exon	ENSG00000095321.18	-	simulate:488825,simulate:488823	1
chr9:129639402|129640722	chr9	129639402	129640722	4	4_2_0	11	0.42	exon	ENSG00000148331.12	-	simulate:512856,simulate:512855,simulate:512853,simulate:512852	1
chr9:130697582|130700935	chr9	130697582	130700935	5	0_3_2	0	1.00	exon	ENSG00000130713.17	+	simulate:514400,simulate:514403,simulate:514404,simulate:514406,simulate:514408	1
chr9:131052850|131069050	chr9	131052850	131069050	2	1_2_0	5	0.44	exon	ENSG00000050555.19	+	simulate:496186,simulate:496420	1
chr9:131325452|131347756	chr9	131325452	131347756	6	4_5_0	19	0.39	exon	ENSG00000160539.6	+	simulate:475251,simulate:475263,simulate:475243,simulate:475256,simulate:475247,simulate:475249	3
chr9:131487856|131491580	chr9	131487856	131491580	6	4_5_0	8	0.60	exon	ENSG00000288701.1	+	simulate:474376,simulate:474375,simulate:474374,simulate:474373,simulate:474372,simulate:474370	3
chr9:132283264|132288651	chr9	132283264	132288651	7	5_6_0	0	1.00	exon	ENSG00000107290.14	-	simulate:512571,simulate:512570,simulate:512569,simulate:512575,simulate:512574,simulate:512573,simulate:512562	3
chr9:132651075|132659780	chr9	132651075	132659780	5	2_5_3	0	1.00	exon	ENSG00000125485.18	-	simulate:482508,simulate:482509,simulate:482504,simulate:482503,simulate:482506	5
chr9:132677977|132683693	chr9	132677977	132683693	3	1_3_0	0	1.00	exon	ENSG00000125484.12	+	simulate:497928,simulate:497906,simulate:497934	1
chr9:133105932|133109721	chr9	133105932	133109721	7	4_6_1	12	0.54	exon	ENSG00000285245.1	-	simulate:510147,simulate:510137,simulate:510145,simulate:510154,simulate:510165,simulate:510144,simulate:510152	4
chr9:133155901|133161532	chr9	133155901	133161532	5	0_2_5	23	0.30	exon	ENSG00000148288.13	-	simulate:494276,simulate:494277,simulate:494278,simulate:494275,simulate:494280	2
chr9:133540878|133561295	chr9	133540878	133561295	6	4_4_0	1	0.92	exon	ENSG00000197859.11	+	simulate:491119,simulate:491149,simulate:491111,simulate:491125,simulate:491126,simulate:491112	3
chr9:133671535|133694371	chr9	133671535	133694371	4	2_2_1	0	1.00	exon	ENSG00000123453.19	-	simulate:484501,simulate:484500,simulate:484498,simulate:484505	1
chr9:134025486|134026090	chr9	134025486	134026090	6	1_4_2	1	0.92	exon	ENSG00000235106.10	+	simulate:484369,simulate:484367,simulate:484372,simulate:484370,simulate:484360,simulate:484371	1
chr9:134782667|134796901	chr9	134782667	134796901	3	0_1_3	1	0.86	exon	ENSG00000130635.16	+	simulate:477614,simulate:477616,simulate:477607	1
chr9:135588593|135589484	chr9	135588593	135589484	5	5_3_0	0	1.00	exon	ENSG00000224045.1	+	simulate:498237,simulate:498247,simulate:498244,simulate:498243,simulate:498242	3
chr9:135631431|135639193	chr9	135631431	135639193	3	1_2_2	0	1.00	exon	ENSG00000204007.8	-	simulate:493255,simulate:493254,simulate:493253	1
chr9:135697506|135698476	chr9	135697506	135698476	5	3_5_0	0	1.00	exon	ENSG00000165643.11	-	simulate:491275,simulate:491273,simulate:491269,simulate:491278,simulate:491281	3
chr9:136016265|136050580	chr9	136016265	136050580	2	2_2_0	0	1.00	exon	ENSG00000148411.8	-	simulate:498609,simulate:498610	2
chr9:136199678|136200753	chr9	136199678	136200753	6	3_5_0	0	1.00	exon	ENSG00000107187.17	-	simulate:476000,simulate:476002,simulate:475993,simulate:475995,simulate:475996,simulate:475999	2
chr9:136337441|136339815	chr9	136337441	136339815	4	3_3_0	5	0.62	exon	ENSG00000160360.13	+	simulate:512106,simulate:512105,simulate:512110,simulate:512099	2
chr9:136369750|136371145	chr9	136369750	136371145	6	6_3_0	13	0.48	exon	ENSG00000187796.16	-	simulate:487548,simulate:487579,simulate:487577,simulate:487555,simulate:487575,simulate:487564	3
chr9:136405118|136405978	chr9	136405118	136405978	4	3_3_1	0	1.00	exon	ENSG00000165689.17	-	simulate:485766,simulate:485764,simulate:485762,simulate:485763	3
chr9:136755412|136757168	chr9	136755412	136757168	5	4_3_0	12	0.45	exon	ENSG00000204001.10	-	simulate:497247,simulate:497248,simulate:497254,simulate:497256,simulate:497251	2
chr9:136800389|136804816	chr9	136800389	136804816	3	3_1_0	22	0.21	exon	ENSG00000273066.5	+	simulate:480704,simulate:480700,simulate:480702	1
chr9:136800389|136805457	chr9	136800389	136805457	4	3_4_0	16	0.33	exon	ENSG00000213213.14	+	simulate:499889,simulate:499897,simulate:499895,simulate:499890	3
chr9:136806385|136807202	chr9	136806385	136807202	3	2_2_0	13	0.32	exon	ENSG00000228544.1	-	simulate:511418,simulate:511425,simulate:511422	1
chr9:136855254|136857041	chr9	136855254	136857041	2	2_2_0	0	1.00	exon	ENSG00000177943.14	+	simulate:507496,simulate:507487	2
chr9:136978993|136980284	chr9	136978993	136980284	7	4_4_1	12	0.54	exon	ENSG00000284341.1	+	simulate:482929,simulate:482925,simulate:482927,simulate:482933,simulate:482922,simulate:482921,simulate:482934	3
chr9:136995186|136995757	chr9	136995186	136995757	9	5_7_0	9	0.67	exon	ENSG00000169583.13	-	simulate:491965,simulate:491954,simulate:491966,simulate:491963,simulate:491964,simulate:491953,simulate:491967,simulate:491957,simulate:491961	3
chr9:137040671|137041187	chr9	137040671	137041187	7	4_6_2	0	1.00	exon	ENSG00000107281.10	-	simulate:509972,simulate:509963,simulate:509964,simulate:509967,simulate:509978,simulate:509979,simulate:509968	4
chr9:137078502|137079449	chr9	137078502	137079449	3	2_1_0	0	1.00	exon	ENSG00000197355.11	+	simulate:512052,simulate:512051,simulate:512050	1
chr9:137213967|137215018	chr9	137213967	137215018	5	3_5_0	15	0.40	exon	ENSG00000188566.15	+	simulate:473058,simulate:473078,simulate:473077,simulate:473064,simulate:473072	3
chr9:137251738|137252135	chr9	137251738	137252135	6	4_5_0	1	0.92	exon	ENSG00000197768.11	+	simulate:473700,simulate:473699,simulate:473698,simulate:473694,simulate:473693,simulate:473692	3
chr9:137436521|137438084	chr9	137436521	137438084	2	1_2_0	8	0.33	exon	ENSG00000188833.10	-	simulate:474485,simulate:474482	1
