"circRNA_ID"	"Case1"	"Control1"	"DE_Score"
"chr9:122378433|122381747"	8	0	0.636733107906642
"chr9:74782679|74800482"	3	2	0
"chr9:133544470|133555930"	0	7	-0.397509375581906
"chr9:5431897|5436694"	0	2	0
"chr9:136831721|136835845"	10	0	0.977077916059908
"chr9:94498056|94502641"	0	4	0
"chr9:130466725|130476961"	0	7	-0.417558959874765
"chr9:88640511|88647660"	0	5	0
"chr9:34381369|34385781"	0	8	-0.604417711095395
"chr9:846960|894195"	0	5	0
"chr9:38456118|38462233"	5	0	0
"chr9:27185485|27203119"	0	6	-0.161627241893534
"chr9:35562875|35563389"	0	2	0
"chr9:124301936|124321569"	0	8	-0.610711458387006
"chr9:101399028|101399530"	0	5	0
"chr9:43111266|43119686"	7	0	0.425461981561941
"chr9:137430784|137433864"	0	7	-0.405005645748737
"chr9:83628007|83628959"	0	2	0
"chr9:136806385|136807202"	0	2	0
"chr9:128323016|128332282"	5	0	0
"chr9:35724830|35725321"	2	0	0
"chr9:129338792|129342043"	7	0	0.419728057749834
"chr9:119248960|119313405"	0	11	-1.11748482673617
"chr9:133702916|133731484"	0	8	-0.610051418522989
"chr9:33943420|33944639"	0	6	-0.15461948303006
"chr9:136016265|136050580"	4	0	0
"chr9:75069742|75077580"	7	0	0.412082028056243
"chr9:100018256|100052532"	5	0	0
"chr9:128828735|128829155"	3	0	0
"chr9:123128214|123132968"	5	0	0
"chr9:15423909|15433636"	0	4	0
"chr9:97516213|97516818"	4	9	0
"chr9:136447569|136451408"	0	3	0
"chr9:92188518|92189635"	4	10	0
"chr9:136945634|136946566"	5	0	0
"chr9:135561758|135565514"	0	6	-0.165721117922854
"chr9:7930282|7960662"	2	0	0
"chr9:5805611|5812217"	0	12	-1.24969849728855
"chr9:92470669|92474927"	9	4	0
"chr9:104132009|104134575"	0	7	-0.395095597018676
"chr9:131126412|131127719"	0	6	-0.170732574539603
"chr9:104111581|104118375"	9	0	0.812847755462231
"chr9:127318063|127333121"	0	8	-0.602426430298015
"chr9:26920227|26926560"	0	6	-0.16101800498885
"chr9:126965844|126977745"	0	4	0
"chr9:110329232|110334320"	0	6	-0.153185598379384
"chr9:132390597|132398326"	0	6	-0.16130744789644
"chr9:72927116|72931019"	4	0	0
"chr9:135768610|135772949"	10	0	0.963353439084648
"chr9:69218257|69228114"	4	0	0
"chr9:34487946|34490124"	0	2	0
"chr9:92135461|92136537"	10	0	0.972422318328003
"chr9:137232575|137233404"	0	4	0
"chr9:124855861|124856600"	5	0	0
"chr9:103001578|103003263"	5	0	0
"chr9:135697506|135699126"	7	0	0.424359098949195
"chr9:124855634|124856600"	0	7	-0.389240863183226
"chr9:115126950|115127910"	4	0	0
"chr9:131135940|131147584"	9	0	0.815157042523015
"chr9:113256114|113257185"	0	4	0
"chr9:83299112|83311975"	0	3	0
"chr9:78246669|78253277"	5	0	0
"chr9:17761437|17789550"	0	5	0
"chr9:134880812|134885897"	5	0	0
"chr9:104884427|104889195"	0	3	0
"chr9:69371499|69383759"	9	0	0.80220564352024
"chr9:131619051|131621998"	0	2	0
"chr9:87727594|87728396"	6	0	0.177654197829404
"chr9:34179038|34242108"	3	0	0
"chr9:72305436|72315090"	3	0	0
"chr9:110496815|110513105"	7	0	0.423089101915052
"chr9:135631431|135639193"	6	4	0
"chr9:22213677|22214672"	0	4	0
"chr9:136849111|136850137"	0	6	-0.158861405937717
"chr9:107302035|107318879"	0	5	0
"chr9:113421103|113424316"	0	3	0
"chr9:137436869|137438305"	0	4	0
"chr9:22674443|22682713"	8	0	0.635453068058861
"chr9:125003114|125003690"	0	6	-0.168421255174454
"chr9:94567270|94587469"	0	10	-0.96191893128116
"chr9:92323236|92323503"	5	0	0
"chr9:18635943|18662073"	0	3	0
"chr9:116265857|116335074"	5	0	0
"chr9:129639402|129640722"	2	0	0
"chr9:109050570|109064567"	0	6	-0.174718551116315
"chr9:33943420|33960878"	6	0	0.179432988663994
"chr9:92321668|92323503"	0	5	0
"chr9:96844890|96852005"	0	7	-0.401879777615462
"chr9:112972080|112982947"	3	0	0
"chr9:136742787|136745280"	7	0	0.416703866945672
"chr9:2943565|3013028"	0	2	0
"chr9:122270864|122285287"	0	6	-0.15322137208521
"chr9:120776093|120793257"	7	0	0.423573810455936
"chr9:120824494|120831945"	0	2	0
"chr9:100326302|100330169"	0	6	-0.166462720198278
"chr9:84707844|84724356"	6	0	0.18098422008825
"chr9:11640733|11784659"	3	2	0
"chr9:120991191|121008498"	0	10	-0.950478037169262
"chr9:137040671|137041187"	2	0	0
"chr9:35606237|35607672"	0	2	0
"chr9:124786975|124799491"	2	0	0
"chr9:37762577|37770019"	0	9	-0.79760604418562
"chr9:89672757|89673487"	0	2	0
"chr9:99128855|99144888"	7	0	0.43193722800133
"chr9:135694387|135695263"	0	8	-0.611017749506539
"chr9:34096716|34098517"	0	7	-0.404991921472039
"chr9:138043774|138058250"	0	7	-0.398595395345205
"chr9:88072732|88073036"	4	0	0
"chr9:136418017|136418673"	3	0	0
"chr9:96465337|96465778"	0	3	0
"chr9:90864589|90874849"	0	4	0
"chr9:128933782|128934058"	0	4	0
"chr9:35750658|35751754"	0	8	-0.611992333519627
"chr9:112275844|112297916"	3	0	0
"chr9:124312509|124313985"	2	0	0
"chr9:14662215|14680162"	8	0	0.624379059714478
"chr9:99825659|99833454"	3	0	0
"chr9:128949189|128952846"	2	2	0
"chr9:15187971|15203890"	0	11	-1.10243890845585
"chr9:90864589|90874291"	6	0	0.182455431465498
"chr9:105705597|105721721"	0	7	-0.400304543446992
"chr9:136806078|136806867"	11	0	1.12843953673992
"chr9:114406355|114425024"	6	0	0.168360233207208
"chr9:136744640|136745280"	0	7	-0.415482151141363
"chr9:131436620|131439061"	6	0	0.176970547730791
"chr9:37522825|37532058"	7	10	0
"chr9:35611804|35618121"	0	6	-0.155501854036404
"chr9:128832291|128835667"	0	3	0
"chr9:34656739|34657587"	6	0	0.176609788479408
"chr9:128190329|128190862"	0	5	0
"chr9:134045293|134051709"	0	9	-0.789619231813797
"chr9:125543059|125657799"	0	2	0
"chr9:93335876|93346414"	2	0	0
"chr9:26997728|26999703"	0	5	0
"chr9:130666608|130668313"	2	0	0
"chr9:87498970|87605175"	0	9	-0.800914986373205
"chr9:133065040|133066945"	0	7	-0.409269968853609
"chr9:93261814|93268065"	0	2	0
"chr9:37489315|37495276"	0	6	-0.161634994897074
"chr9:76189631|76292275"	3	0	0
"chr9:72056784|72059384"	0	4	0
"chr9:133518874|133520288"	0	5	0
"chr9:137263037|137266426"	5	0	0
"chr9:129615484|129620743"	0	7	-0.40087006857276
"chr9:116841429|116842517"	3	0	0
"chr9:101613376|101671107"	0	6	-0.1682038803003
"chr9:93107674|93109092"	7	0	0.421311560267385
"chr9:32481340|32489451"	0	10	-0.96427212151053
"chr9:127720078|127724364"	0	8	-0.614112423737415
"chr9:85175476|85182840"	4	0	0
"chr9:114094181|114095332"	8	0	0.628443947212372
"chr9:37521569|37529260"	6	6	0
"chr9:124013961|124015525"	3	0	0
"chr9:126615383|126693601"	0	3	0
"chr9:33508359|33510711"	0	7	-0.405213013295252
"chr9:83883813|83891501"	6	0	0.182110481427755
"chr9:34380897|34381444"	5	0	0
"chr9:129830871|129834766"	0	4	0
"chr9:84670377|84707912"	0	3	0
"chr9:126962225|126965951"	7	0	0.41921716568787
"chr9:130219725|130222738"	0	3	0
"chr9:19063008|19063580"	3	0	0
"chr9:127473801|127481227"	5	0	0
"chr9:104750956|104753064"	0	4	0
"chr9:86950867|86987615"	0	6	-0.162899142213095
"chr9:85621202|85657643"	0	7	-0.403109259777495
"chr9:34402705|34405964"	3	0	0
"chr9:132269615|132271808"	7	0	0.423777651304307
"chr9:3671474|3674648"	0	3	0
"chr9:32485175|32489451"	0	9	-0.800314653671296
"chr9:136447853|136448161"	7	0	0.424065389043005
"chr9:129085023|129085306"	0	4	0
"chr9:135945889|135946371"	5	0	0
"chr9:128842654|128845411"	9	0	0.815253140160087
"chr9:81974082|81976806"	9	0	0.818520928587773
"chr9:89334522|89347048"	0	6	-0.15332114036028
"chr9:19573351|19622299"	5	0	0
"chr9:97281516|97290902"	6	0	0.180917149260588
"chr9:121354601|121356156"	0	4	0
"chr9:13004933|13029577"	10	0	0.981798856300766
"chr9:127817759|127818389"	0	7	-0.403026796311853
"chr9:114668206|114671827"	0	6	-0.164458964976906
"chr9:92882567|92884000"	5	9	0
"chr9:82277049|82349848"	6	0	0.166918935443961
"chr9:2644734|2646552"	3	0	0
"chr9:66182326|66184776"	11	0	1.11595170168839
"chr9:121313934|121318880"	0	5	0
"chr9:136863288|136863871"	0	6	-0.15612521336423
"chr9:95240649|95247516"	4	0	0
"chr9:85958472|85975033"	0	2	0
"chr9:34623425|34628086"	8	0	0.624975779373472
"chr9:34556255|34564832"	0	3	0
"chr9:19334977|19341114"	7	0	0.428834032630212
"chr9:92634386|92635246"	0	4	0
"chr9:135588593|135589484"	6	0	0.183245890516207
"chr9:68387463|68465208"	0	14	-1.47366578947079
"chr9:137050284|137051370"	0	5	0
"chr9:85621202|85646418"	3	0	0
"chr9:105479354|105508715"	0	3	0
"chr9:93107674|93110721"	0	4	0
"chr9:8936079|8958848"	0	3	0
"chr9:35562875|35563356"	3	0	0
"chr9:83669185|83680037"	4	0	0
"chr9:33034216|33036257"	4	0	0
"chr9:127709422|127712349"	0	4	0
"chr9:137754171|137778055"	0	5	0
"chr9:90507258|90508941"	0	5	0
"chr9:125203008|125213522"	0	5	0
"chr9:137039971|137040436"	0	6	-0.158677028608977
"chr9:113413445|113413894"	5	0	0
"chr9:136994930|136995567"	0	7	-0.404983932232021
"chr9:133643413|133651777"	0	10	-0.955386158080609
"chr9:72197462|72213991"	0	3	0
"chr9:33218365|33221108"	3	0	0
"chr9:109406462|109422852"	8	0	0.6323087844835
"chr9:97648008|97656085"	0	4	0
"chr9:34648998|34656908"	6	0	0.175817146165379
"chr9:122214283|122227030"	3	0	0
"chr9:13150511|13176417"	0	3	0
"chr9:122576766|122578445"	0	6	-0.174482443712976
"chr9:36147786|36148650"	2	0	0
"chr9:35658576|35660461"	2	0	0
"chr9:110250820|110251462"	6	2	0
"chr9:114343708|114346009"	0	10	-0.966208449236291
"chr9:15846702|15848947"	3	0	0
"chr9:136365141|136366845"	0	5	0
"chr9:125323798|125341264"	0	11	-1.09488586668204
"chr9:74634631|74662606"	7	0	0.41430554056885
"chr9:105604215|105620061"	0	5	0
"chr9:98371464|98406141"	0	2	0
"chr9:132498695|132499600"	0	5	0
"chr9:136979946|136980855"	4	0	0
"chr9:69227765|69230232"	0	6	-0.158987040328675
"chr9:130695492|130697627"	0	5	0
"chr9:38413237|38414203"	0	4	0
"chr9:136806050|136807202"	3	0	0
