circRNA_ID	Case1	Control1
chr9:128190329|128190862	0	5
chr9:134045293|134051709	0	9
chr9:125543059|125657799	0	2
chr9:93335876|93346414	2	0
chr9:26997728|26999703	0	5
chr9:130666608|130668313	2	0
chr9:87498970|87605175	0	9
chr9:133065040|133066945	0	7
chr9:93261814|93268065	0	2
chr9:37489315|37495276	0	6
chr9:76189631|76292275	3	0
chr9:72056784|72059384	0	4
chr9:133518874|133520288	0	5
chr9:137263037|137266426	5	0
chr9:129615484|129620743	0	7
chr9:116841429|116842517	3	0
chr9:101613376|101671107	0	6
chr9:93107674|93109092	7	0
chr9:32481340|32489451	0	10
chr9:127720078|127724364	0	8
chr9:85175476|85182840	4	0
chr9:114094181|114095332	8	0
chr9:37521569|37529260	6	6
chr9:124013961|124015525	3	0
chr9:126615383|126693601	0	3
chr9:33508359|33510711	0	7
chr9:83883813|83891501	6	0
chr9:34380897|34381444	5	0
chr9:129830871|129834766	0	4
chr9:84670377|84707912	0	3
chr9:126962225|126965951	7	0
chr9:130219725|130222738	0	3
chr9:19063008|19063580	3	0
chr9:127473801|127481227	5	0
chr9:104750956|104753064	0	4
chr9:86950867|86987615	0	6
chr9:85621202|85657643	0	7
chr9:34402705|34405964	3	0
chr9:132269615|132271808	7	0
chr9:3671474|3674648	0	3
chr9:32485175|32489451	0	9
chr9:136447853|136448161	7	0
chr9:129085023|129085306	0	4
chr9:135945889|135946371	5	0
chr9:128842654|128845411	9	0
chr9:81974082|81976806	9	0
chr9:89334522|89347048	0	6
chr9:19573351|19622299	5	0
chr9:97281516|97290902	6	0
chr9:121354601|121356156	0	4
chr9:13004933|13029577	10	0
chr9:127817759|127818389	0	7
chr9:114668206|114671827	0	6
chr9:92882567|92884000	5	9
chr9:82277049|82349848	6	0
chr9:2644734|2646552	3	0
chr9:66182326|66184776	11	0
chr9:121313934|121318880	0	5
chr9:136863288|136863871	0	6
chr9:95240649|95247516	4	0
chr9:85958472|85975033	0	2
chr9:34623425|34628086	8	0
chr9:34556255|34564832	0	3
chr9:19334977|19341114	7	0
chr9:92634386|92635246	0	4
chr9:135588593|135589484	6	0
chr9:68387463|68465208	0	14
chr9:137050284|137051370	0	5
chr9:85621202|85646418	3	0
chr9:105479354|105508715	0	3
chr9:93107674|93110721	0	4
chr9:8936079|8958848	0	3
chr9:35562875|35563356	3	0
chr9:83669185|83680037	4	0
chr9:33034216|33036257	4	0
chr9:127709422|127712349	0	4
chr9:137754171|137778055	0	5
chr9:90507258|90508941	0	5
chr9:125203008|125213522	0	5
chr9:137039971|137040436	0	6
chr9:113413445|113413894	5	0
chr9:136994930|136995567	0	7
chr9:133643413|133651777	0	10
chr9:72197462|72213991	0	3
chr9:33218365|33221108	3	0
chr9:109406462|109422852	8	0
chr9:97648008|97656085	0	4
chr9:34648998|34656908	6	0
chr9:122214283|122227030	3	0
chr9:13150511|13176417	0	3
chr9:122576766|122578445	0	6
chr9:36147786|36148650	2	0
chr9:35658576|35660461	2	0
chr9:110250820|110251462	6	2
chr9:114343708|114346009	0	10
chr9:15846702|15848947	3	0
chr9:136365141|136366845	0	5
chr9:125323798|125341264	0	11
chr9:74634631|74662606	7	0
chr9:105604215|105620061	0	5
chr9:98371464|98406141	0	2
chr9:132498695|132499600	0	5
chr9:136979946|136980855	4	0
chr9:69227765|69230232	0	6
chr9:130695492|130697627	0	5
chr9:38413237|38414203	0	4
chr9:136806050|136807202	3	0
